Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_WET,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,12,0 days 00:01:33.609000,INTERMEDIATE,12.0,True,0 days 00:23:34.091000,17.4,11,25.8,0 days 00:00:27.549000,0 days 00:00:30.374000,0 days 00:00:35.686000,1,93.609,1414.091,0.5620000000001255,False,True,False,False,12.0,0.0,0.0,27.549,30.374,35.686,0,0,0,0.0,92.8098,0.9199329866897992,0.8687589330563801,0,0,93.286,90.275,-3.0109999999999957,1.6800000000000068,0.3229999999999933,0.10766666666666917,0.0,0.6310000000000002,0.7041209413161911,0.10766666666666917,0,1,2024,Canadian Grand Prix,0.0,14,0.0
ALB,13,0 days 00:01:30.275000,INTERMEDIATE,13.0,True,0 days 00:25:04.366000,17.5,11,25.9,0 days 00:00:26.629000,0 days 00:00:28.931000,0 days 00:00:34.715000,1,90.275,1504.366,0.9639999999999418,False,True,False,False,13.0,0.0,0.0,26.629,28.931,34.715,0,0,0,0.0,92.73780000000001,0.8145800758673242,-3.0233982796322816,1,0,93.609,89.832,-3.777000000000001,2.003,-3.333999999999989,0.46133333333333343,0.0,-0.3399999999999963,0.710336188012409,0.46133333333333343,0,1,2024,Canadian Grand Prix,0.0,14,0.0
ALB,14,0 days 00:01:29.832000,INTERMEDIATE,14.0,True,0 days 00:26:34.198000,17.5,11,26.1,0 days 00:00:26.505000,0 days 00:00:28.870000,0 days 00:00:34.457000,1,89.832,1594.198,1.0239999999998872,False,True,False,False,14.0,0.0,0.0,26.505,28.87,34.457,0,0,0,0.0,92.2002,1.3438529309414802,-1.7622464076786153,1,1,90.275,89.027,-1.2480000000000047,0.0,-0.44300000000001205,-0.44366666666666293,0.0,-0.25800000000000267,0.7279783650631378,-0.44366666666666293,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,15,0 days 00:01:29.027000,INTERMEDIATE,15.0,True,0 days 00:28:03.225000,17.7,11,26.3,0 days 00:00:26.048000,0 days 00:00:28.646000,0 days 00:00:34.333000,1,89.027,1683.225,1.0850000000000364,False,True,False,False,15.0,0.0,0.0,26.048,28.646,34.333,0,0,0,0.0,91.7216,1.7092563587712655,-1.5764750478606167,1,1,89.832,88.664,-1.1679999999999922,0.0,-0.8049999999999926,-1.151333333333336,0.0,-0.12400000000000233,0.7273307363228918,-1.151333333333336,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,16,0 days 00:01:28.664000,INTERMEDIATE,16.0,True,0 days 00:29:31.889000,17.9,11,26.3,0 days 00:00:25.861000,0 days 00:00:28.599000,0 days 00:00:34.204000,1,88.664,1771.889,1.4010000000000673,False,True,False,False,16.0,0.0,0.0,25.861,28.599,34.204,0,0,0,0.0,91.2058,2.0978254693849046,-1.211635589849744,0,1,89.027,88.734,-0.29300000000000637,0.0,-0.36299999999999955,-1.5273333333333312,0.0,-0.12899999999999778,0.642847415799426,-1.5273333333333312,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,17,0 days 00:01:28.734000,INTERMEDIATE,17.0,True,0 days 00:31:00.623000,17.9,11,26.7,0 days 00:00:25.683000,0 days 00:00:27.938000,0 days 00:00:35.113000,1,88.734,1860.623,0.25,False,True,False,False,17.0,0.0,0.0,25.683,27.938,35.113,0,0,0,0.0,90.2814,1.9662416687681072,-0.7869836269767845,0,0,88.664,86.754,-1.9099999999999966,0.0,0.06999999999999318,-0.5370000000000014,0.0,0.9089999999999989,0.3881565405863977,-0.5370000000000014,0,1,2024,Canadian Grand Prix,0.0,14,0.0
ALB,18,0 days 00:01:26.754000,INTERMEDIATE,18.0,True,0 days 00:32:27.377000,18.0,11,26.7,0 days 00:00:25.601000,0 days 00:00:27.750000,0 days 00:00:33.403000,1,86.754,1947.377,0.9750000000001364,False,True,False,False,18.0,0.0,0.0,25.601,27.75,33.403,0,0,0,0.0,89.3064,0.712885895498016,-3.5803766298629136,1,0,88.734,85.842,-2.891999999999996,0.06999999999999318,-1.9799999999999898,-0.36599999999999966,0.0,-0.8010000000000019,0.509850272138791,-0.36599999999999966,0,1,2024,Canadian Grand Prix,0.0,14,0.0
ALB,19,0 days 00:01:25.842000,INTERMEDIATE,19.0,True,0 days 00:33:53.219000,18.1,10,26.7,0 days 00:00:25.645000,0 days 00:00:27.301000,0 days 00:00:32.896000,1,85.842,2033.219,0.5940000000000509,False,True,False,False,19.0,0.0,0.0,25.645,27.301,32.896,0,0,0,0.0,88.60220000000001,1.1324637742550476,-2.437340657378391,1,1,86.754,86.838,0.08399999999998897,0.0,-0.9120000000000061,-0.7576666666666654,0.0,-0.5069999999999979,0.6192699734364653,-0.7576666666666654,0,1,2024,Canadian Grand Prix,0.0,14,0.0
ALB,20,0 days 00:01:26.838000,INTERMEDIATE,20.0,True,0 days 00:35:20.057000,18.2,9,27.0,0 days 00:00:26.057000,0 days 00:00:27.296000,0 days 00:00:33.485000,1,86.838,2120.057,0.73700000000008,False,True,False,False,20.0,0.0,0.0,26.057,27.296,33.485,0,0,0,0.0,87.80420000000001,1.4188175358374957,-0.6809896097243321,0,1,85.842,87.129,1.2870000000000061,0.0,0.9959999999999951,-0.9406666666666675,0.0,0.5889999999999986,0.6465151196994543,-0.9406666666666675,0,1,2024,Canadian Grand Prix,0.0,14,0.0
ALB,21,0 days 00:01:27.129000,INTERMEDIATE,21.0,True,0 days 00:36:47.186000,18.2,9,26.9,0 days 00:00:25.607000,0 days 00:00:27.515000,0 days 00:00:34.007000,1,87.129,2207.186,1.362999999999829,False,True,False,False,21.0,0.0,0.0,25.607,27.515,34.007,0,0,0,0.0,87.3664,1.2779017176606262,-0.1857732850023764,0,0,86.838,86.207,-0.6310000000000002,0.9959999999999951,0.291000000000011,-0.6320000000000002,0.0,1.110999999999997,0.722452212952524,-0.6320000000000002,0,0,2024,Canadian Grand Prix,0.0,14,0.0
