Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,12,0 days 00:01:40.702000,MEDIUM,12.0,True,0 days 01:03:02.131000,30.3,13,55.5,0 days 00:00:25.620000,0 days 00:00:30.434000,0 days 00:00:44.648000,1,100.702,3782.131,4.376000000000204,False,True,12.0,0.0,0.0,25.62,30.434,44.648,0,0,0,0.0,100.69300000000001,0.3505303125266071,0.02567538292227718,0,0,101.072,101.235,0.1629999999999967,0.8070000000000022,-0.37000000000000455,0.2309999999999993,0.0,0.15100000000000335,0.20099079580916054,0.2309999999999993,0,0,2022,French Grand Prix,0.0,0,0.0
ALB,13,0 days 00:01:41.235000,MEDIUM,13.0,True,0 days 01:04:43.366000,30.1,13,54.8,0 days 00:00:25.729000,0 days 00:00:30.824000,0 days 00:00:44.682000,1,101.235,3883.366,4.2970000000000255,False,True,13.0,0.0,0.0,25.729,30.824,44.682,0,0,0,0.0,100.6566,0.33483622862528006,1.7274116435211007,0,0,100.702,101.371,0.6689999999999969,0.4369999999999976,0.5330000000000013,0.14566666666666586,0.0,0.03399999999999892,0.20127270058306396,0.14566666666666586,0,0,2022,French Grand Prix,0.0,0,0.0
ALB,14,0 days 00:01:41.371000,MEDIUM,14.0,True,0 days 01:06:24.737000,30.2,13,55.0,0 days 00:00:25.653000,0 days 00:00:30.672000,0 days 00:00:45.046000,1,101.371,3984.737,4.179999999999836,False,True,14.0,0.0,0.0,25.653,30.672,45.046,0,0,0,0.0,100.8278,0.37396483791929197,1.4525429797686773,0,0,101.235,100.944,-0.2909999999999968,0.9699999999999989,0.13599999999999568,0.12333333333333485,0.0,0.39799999999999613,0.19041586068392383,0.12333333333333485,0,0,2022,French Grand Prix,0.0,0,0.0
ALB,15,0 days 00:01:40.944000,MEDIUM,15.0,True,0 days 01:08:05.681000,30.3,13,55.1,0 days 00:00:25.598000,0 days 00:00:30.451000,0 days 00:00:44.895000,1,100.944,4085.681,4.058999999999742,False,True,15.0,0.0,0.0,25.598,30.451,44.895,0,0,0,0.0,101.049,0.27068154721001,-0.38790970822454723,0,0,101.371,101.056,-0.3149999999999977,0.6689999999999969,-0.4269999999999925,0.09966666666666413,0.0,0.2469999999999999,0.17418381095842245,0.09966666666666413,0,0,2022,French Grand Prix,0.0,0,0.0
ALB,16,0 days 00:01:41.056000,MEDIUM,16.0,True,0 days 01:09:46.737000,30.4,13,55.2,0 days 00:00:25.512000,0 days 00:00:30.588000,0 days 00:00:44.956000,1,101.056,4186.737,3.82799999999952,False,True,16.0,0.0,0.0,25.512,30.588,44.956,0,0,0,0.0,101.06479999999999,0.25932354308856115,-0.033934443032765556,0,0,100.944,101.107,0.1629999999999967,0.24200000000000443,0.11199999999999477,0.08066666666666815,0.0,0.2740000000000009,0.1691079536863936,0.08066666666666815,0,0,2022,French Grand Prix,0.0,0,0.0
ALB,17,0 days 00:01:41.107000,MEDIUM,17.0,True,0 days 01:11:27.844000,30.3,13,54.9,0 days 00:00:25.797000,0 days 00:00:30.484000,0 days 00:00:44.826000,1,101.107,4287.844,3.519999999999527,False,True,17.0,0.0,0.0,25.797,30.484,44.826,0,0,0,0.0,101.0616,0.2593112029974888,0.17507920782134676,0,0,101.056,100.853,-0.20300000000000296,0.3539999999999992,0.05100000000000193,-0.059666666666667346,0.0,-0.06900000000000261,0.1366407699041529,-0.059666666666667346,0,0,2022,French Grand Prix,0.0,0,0.0
ALB,21,0 days 00:01:40.853000,HARD,3.0,True,0 days 01:20:01.640000,30.5,11,55.9,0 days 00:00:25.738000,0 days 00:00:30.493000,0 days 00:00:44.622000,1,100.853,4801.64,0.3829999999998108,True,False,3.0,0.0,0.0,25.738,30.493,44.622,0,0,0,0.0,101.14259999999999,0.16500999969700253,-1.7550451520014982,1,0,101.107,101.067,-0.04000000000000625,0.1629999999999967,-0.2540000000000049,-0.0879999999999986,0.0,-0.20400000000000063,0.1898122756831075,-0.0879999999999986,0,1,2022,French Grand Prix,0.0,0,0.0
ALB,22,0 days 00:01:41.067000,HARD,4.0,True,0 days 01:21:42.707000,30.5,11,55.6,0 days 00:00:25.696000,0 days 00:00:30.421000,0 days 00:00:44.950000,12,101.067,4902.707,0.5670000000000073,True,False,4.0,0.0,0.0,25.696,30.421,44.95,0,0,1,0.0,101.0662,0.19688753134722714,0.00406323343344313,0,1,100.853,100.35,-0.5030000000000001,0.0,0.21399999999999864,-0.03033333333333606,0.0,0.32800000000000296,0.253674397604488,-0.03033333333333606,0,1,2022,French Grand Prix,0.0,0,0.0
ALB,23,0 days 00:01:40.350000,HARD,5.0,True,0 days 01:23:23.057000,30.4,11,55.6,0 days 00:00:25.545000,0 days 00:00:30.295000,0 days 00:00:44.510000,1,100.35,5003.057,0.5210000000006403,True,False,5.0,0.0,0.0,25.545,30.295,44.51,0,0,0,0.0,101.0054,0.10449066943993256,-6.272330376606143,1,0,101.067,99.92,-1.1469999999999914,0.21399999999999864,-0.7169999999999987,0.0036666666666652268,0.0,-0.11200000000000188,0.23647980886325307,0.0036666666666652268,0,1,2022,French Grand Prix,0.0,0,0.0
ALB,24,0 days 00:01:39.920000,HARD,6.0,True,0 days 01:25:02.977000,30.6,11,56.5,0 days 00:00:25.113000,0 days 00:00:30.249000,0 days 00:00:44.558000,1,99.92,5102.977,0.5520000000005894,True,False,6.0,0.0,0.0,25.113,30.249,44.558,0,0,0,0.0,100.88659999999999,0.31578679516408553,-3.060925962713963,1,1,100.35,99.779,-0.570999999999998,0.0,-0.4299999999999926,-0.252333333333335,0.0,0.04800000000000182,0.24091658307389485,-0.252333333333335,0,1,2022,French Grand Prix,0.0,0,0.0
