Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,12,0 days 00:01:27.533000,MEDIUM,15.0,True,0 days 01:39:49.032000,6,0 days 00:00:28.244000,0 days 00:00:30.301000,0 days 00:00:28.988000,1,87.533,5989.032,1.131999999999607,False,True,15.0,0.0,0.0,0.0,0.0,28.244,30.301,28.988,0,0,0,0.0,86.9962,0.3267349078381138,1.6429220971576317,0,0,87.389,87.676,0.28700000000000614,0.7129999999999939,0.14400000000000546,0.2376666666666646,0.0,0.18499999999999872,0.0895488693395954,0.2376666666666646,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,13,0 days 00:01:27.676000,MEDIUM,16.0,True,0 days 01:41:16.708000,6,0 days 00:00:28.382000,0 days 00:00:30.287000,0 days 00:00:29.007000,1,87.676,6076.708,0.9740000000001601,False,True,16.0,0.0,0.0,0.0,0.0,28.382,30.287,29.007,0,0,0,0.0,87.1482,0.37075557986356633,1.4235793840087945,0,0,87.533,87.723,0.18999999999999773,0.8569999999999993,0.14300000000000068,0.23166666666666913,0.0,0.12100000000000222,0.09354036561827135,0.23166666666666913,0,1,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,14,0 days 00:01:27.723000,MEDIUM,17.0,True,0 days 01:42:44.431000,6,0 days 00:00:28.419000,0 days 00:00:30.381000,0 days 00:00:28.923000,1,87.723,6164.431,0.6220000000002983,False,True,17.0,0.0,0.0,0.0,0.0,28.419,30.381,28.923,0,0,0,0.0,87.34819999999999,0.31837038178818344,1.1772451881198158,0,0,87.676,87.087,-0.5889999999999986,0.8380000000000081,0.046999999999997044,0.12366666666666504,0.0,-0.0030000000000001137,0.049857797785300036,0.12366666666666504,0,1,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,17,0 days 00:01:27.087000,HARD,5.0,True,0 days 01:47:31.424000,13,0 days 00:00:28.112000,0 days 00:00:29.907000,0 days 00:00:29.068000,1,87.087,6451.424,7.663000000000466,True,False,5.0,0.0,0.0,0.0,0.0,28.112,29.907,29.068,0,0,0,0.0,87.5252,0.1795583470628292,-2.4404323562115686,1,0,87.723,86.893,-0.8299999999999983,0.41799999999999216,-0.6359999999999957,0.1113333333333344,0.0,0.14500000000000313,0.08237232544975252,0.1113333333333344,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,18,0 days 00:01:26.893000,HARD,6.0,True,0 days 01:48:58.317000,13,0 days 00:00:28.215000,0 days 00:00:29.832000,0 days 00:00:28.846000,1,86.893,6538.317,7.585000000000036,True,False,6.0,0.0,0.0,0.0,0.0,28.215,29.832,28.846,0,0,0,0.0,87.4816,0.2564133381864917,-2.2955124104031808,1,1,87.087,87.308,0.22100000000000364,0.0,-0.19400000000000261,-0.14866666666666598,0.0,-0.07699999999999818,0.0811615672593868,-0.14866666666666598,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,19,0 days 00:01:27.308000,HARD,7.0,True,0 days 01:50:25.625000,13,0 days 00:00:28.421000,0 days 00:00:30.061000,0 days 00:00:28.826000,1,87.308,6625.625,7.323999999999614,True,False,7.0,0.0,0.0,0.0,0.0,28.421,30.061,28.826,0,0,0,0.0,87.38239999999999,0.3713701657375717,-0.2003391948629433,0,1,86.893,86.853,-0.04000000000000625,0.0,0.41500000000000625,-0.2610000000000004,0.0,-0.019999999999999574,0.10988721490692155,-0.2610000000000004,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,20,0 days 00:01:26.853000,HARD,8.0,True,0 days 01:51:52.478000,12,0 days 00:00:28.207000,0 days 00:00:29.964000,0 days 00:00:28.682000,1,86.853,6712.478,7.360999999999876,True,False,8.0,0.0,0.0,0.0,0.0,28.207,29.964,28.682,0,0,0,0.0,87.3374,0.36207499223221234,-1.337844397962022,0,0,87.308,86.601,-0.7070000000000078,0.41500000000000625,-0.4550000000000125,-0.13833333333333067,0.0,-0.1440000000000019,0.09551544377743405,-0.13833333333333067,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,21,0 days 00:01:26.601000,HARD,9.0,True,0 days 01:53:19.079000,12,0 days 00:00:28.063000,0 days 00:00:29.888000,0 days 00:00:28.650000,1,86.601,6799.079,7.931000000000495,True,False,9.0,0.0,0.0,0.0,0.0,28.063,29.888,28.65,0,0,0,0.0,87.1728,0.35669342578743135,-1.6030572998022,1,0,86.853,86.833,-0.01999999999999602,0.0,-0.25199999999999534,-0.07800000000000296,0.0,-0.03200000000000003,0.10739972067002933,-0.07800000000000296,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,22,0 days 00:01:26.833000,HARD,10.0,True,0 days 01:54:45.912000,11,0 days 00:00:28.065000,0 days 00:00:30.017000,0 days 00:00:28.751000,1,86.833,6885.912,9.157000000000153,True,False,10.0,0.0,0.0,0.0,0.0,28.065,30.017,28.751,0,0,0,0.0,86.94839999999999,0.26522594141598455,-0.4351007272663377,0,1,86.601,86.913,0.3119999999999976,0.0,0.23199999999999932,-0.09733333333333387,0.0,0.10100000000000264,0.10704812002085948,-0.09733333333333387,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,23,0 days 00:01:26.913000,HARD,11.0,True,0 days 01:56:12.825000,9,0 days 00:00:28.072000,0 days 00:00:30.021000,0 days 00:00:28.820000,1,86.913,6972.825,2.0799999999999272,True,False,11.0,0.0,0.0,0.0,0.0,28.072,30.021,28.82,0,0,0,0.0,86.8976,0.2562143633756701,0.060105919891070426,0,0,86.833,86.748,-0.08499999999999375,0.23199999999999932,0.0799999999999983,-0.15833333333333618,0.0,0.1700000000000017,0.08996277007740618,-0.15833333333333618,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,24,0 days 00:01:26.748000,HARD,12.0,True,0 days 01:57:39.573000,8,0 days 00:00:28.141000,0 days 00:00:29.930000,0 days 00:00:28.677000,1,86.748,7059.573,2.844000000000051,True,False,12.0,0.0,0.0,0.0,0.0,28.141,29.93,28.677,0,0,0,0.0,86.9016,0.256280705477411,-0.5993428171421038,0,0,86.913,86.898,-0.015000000000000568,0.3119999999999976,-0.16499999999999204,0.020000000000000757,0.0,0.027000000000001023,0.1226132129910981,0.020000000000000757,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,25,0 days 00:01:26.898000,HARD,13.0,True,0 days 01:59:06.471000,7,0 days 00:00:28.176000,0 days 00:00:29.914000,0 days 00:00:28.808000,1,86.898,7146.471,2.3700000000008004,True,False,13.0,0.0,0.0,0.0,0.0,28.176,29.914,28.808,0,0,0,0.0,86.78960000000001,0.12086273205587464,0.8968852363015906,0,0,86.748,87.049,0.30100000000000193,0.14700000000000557,0.14999999999999147,0.049000000000001855,0.0,0.13100000000000023,0.12105081577585666,0.049000000000001855,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,26,0 days 00:01:27.049000,HARD,14.0,True,0 days 02:00:33.520000,7,0 days 00:00:28.190000,0 days 00:00:29.944000,0 days 00:00:28.915000,1,87.049,7233.52,1.7229999999999563,True,False,14.0,0.0,0.0,0.0,0.0,28.19,29.944,28.915,0,0,0,0.0,86.7986,0.12821583365563313,1.952956923187404,0,0,86.898,86.735,-0.1629999999999967,0.29699999999999704,0.15100000000001046,0.021666666666665908,0.0,0.23799999999999955,0.08138365929349752,0.021666666666665908,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
ALB,27,0 days 00:01:26.735000,HARD,15.0,True,0 days 02:02:00.255000,7,0 days 00:00:28.082000,0 days 00:00:29.815000,0 days 00:00:28.838000,1,86.735,7320.255,1.4729999999999563,True,False,15.0,0.0,0.0,0.0,0.0,28.082,29.815,28.838,0,0,0,0.0,86.88820000000001,0.11098513413965569,-1.3803650478742189,0,0,87.049,87.024,-0.025000000000005684,0.30100000000000193,-0.31400000000000716,0.04533333333333663,0.0,0.16100000000000136,0.07851305623907344,0.04533333333333663,0,0,2023,Italian Grand Prix,2023_Italian Grand Prix
