Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,compound_WET,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,12,0 days 00:01:20.310000,MEDIUM,12.0,True,0 days 01:18:14.971000,25.4,13,40.1,0 days 00:00:21.359000,0 days 00:00:37.710000,0 days 00:00:21.241000,21,80.31,4694.971,0.8920000000007349,False,False,True,False,False,12.0,0.0,0.0,21.359,37.71,21.241,0,0,1,0.0,79.152,0.2272102550502679,5.096600942346576,0,0,79.278,79.885,0.6069999999999993,0.4819999999999993,1.0319999999999965,0.16066666666666643,0.0,0.259999999999998,0.14770308053659406,0.16066666666666643,0,1,2023,Monaco Grand Prix,0.0,19,0.0
ALB,13,0 days 00:01:19.885000,MEDIUM,13.0,True,0 days 01:19:34.856000,25.4,13,40.1,0 days 00:00:21.015000,0 days 00:00:37.578000,0 days 00:00:21.292000,1,79.885,4774.856,0.5180000000000291,False,False,True,False,False,13.0,0.0,0.0,21.015,37.578,21.292,0,0,0,0.0,79.40299999999999,0.5529575028878844,0.8716763901072196,0,0,80.31,80.259,-0.05100000000000193,1.5139999999999958,-0.42499999999999716,0.33899999999999864,0.0,0.31099999999999994,0.11090626673006207,0.33899999999999864,0,1,2023,Monaco Grand Prix,0.0,19,0.0
ALB,14,0 days 00:01:20.259000,MEDIUM,14.0,True,0 days 01:20:55.115000,25.3,13,39.9,0 days 00:00:21.100000,0 days 00:00:37.723000,0 days 00:00:21.436000,12,80.259,4855.115,0.32600000000002183,False,False,True,False,False,14.0,0.0,0.0,21.1,37.723,21.436,0,0,1,0.0,79.6208,0.4609063896280918,1.3846629475346723,0,0,79.885,80.892,1.0069999999999908,0.6069999999999993,0.3739999999999952,0.1823333333333371,0.0,0.4549999999999983,0.07077428911688188,0.1823333333333371,0,1,2023,Monaco Grand Prix,0.0,19,0.0
ALB,15,0 days 00:01:20.892000,MEDIUM,15.0,True,0 days 01:22:16.007000,25.3,13,39.5,0 days 00:00:21.091000,0 days 00:00:38.177000,0 days 00:00:21.624000,1,80.892,4936.007,0.3460000000004584,False,False,True,False,False,15.0,0.0,0.0,21.091,38.177,21.624,0,0,0,0.0,79.814,0.490651098031987,2.1970805819530135,0,0,80.259,80.443,0.1839999999999975,0.9809999999999945,0.6329999999999956,0.3269999999999982,0.0,0.3829999999999991,0.1271377206025022,0.3269999999999982,0,1,2023,Monaco Grand Prix,0.0,19,0.0
ALB,16,0 days 00:01:20.443000,MEDIUM,16.0,True,0 days 01:23:36.450000,25.3,13,39.5,0 days 00:00:21.138000,0 days 00:00:37.761000,0 days 00:00:21.544000,1,80.443,5016.45,0.3829999999998108,False,False,True,False,False,16.0,0.0,0.0,21.138,37.761,21.544,0,0,0,0.0,80.1248,0.5948694814831033,0.5349072526072136,0,0,80.892,80.624,-0.2680000000000007,1.61399999999999,-0.44899999999999807,0.19399999999999787,0.0,0.2519999999999989,0.12336531116971201,0.19399999999999787,0,1,2023,Monaco Grand Prix,0.0,19,0.0
ALB,17,0 days 00:01:20.624000,MEDIUM,17.0,True,0 days 01:24:57.074000,25.2,13,39.8,0 days 00:00:21.111000,0 days 00:00:37.878000,0 days 00:00:21.635000,1,80.624,5097.074,0.3360000000002401,False,False,True,False,False,17.0,0.0,0.0,21.111,37.878,21.635,0,0,0,0.0,80.3578,0.3633919371697251,0.7325423950605346,0,0,80.443,78.47,-1.972999999999999,0.5579999999999927,0.18099999999999739,0.18599999999999758,0.0,0.19900000000000162,0.08624789852512345,0.18599999999999758,0,1,2023,Monaco Grand Prix,0.0,19,0.0
ALB,20,0 days 00:01:18.470000,HARD,2.0,True,0 days 01:29:17.151000,25.4,19,39.2,0 days 00:00:21.216000,0 days 00:00:36.780000,0 days 00:00:20.474000,1,78.47,5357.151,0.0,True,False,False,False,False,2.0,0.0,0.0,21.216,36.78,20.474,0,0,0,0.0,80.42060000000001,0.37982667099607403,-5.135500345156569,1,0,80.624,77.131,-3.492999999999995,0.7389999999999901,-2.1539999999999964,0.12166666666666497,0.0,-1.0700000000000003,0.10190682018392978,0.12166666666666497,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,21,0 days 00:01:17.131000,HARD,3.0,True,0 days 01:30:34.282000,25.4,19,39.1,0 days 00:00:20.333000,0 days 00:00:36.329000,0 days 00:00:20.469000,1,77.131,5434.282,0.0,True,False,False,False,False,3.0,0.0,0.0,20.333,36.329,20.469,0,0,0,0.0,80.13759999999999,0.9610672713187084,-3.1283970328888095,1,1,78.47,77.105,-1.3649999999999949,0.0,-1.3389999999999986,-0.8073333333333323,0.0,-0.004999999999999005,0.630897535262264,-0.8073333333333323,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,22,0 days 00:01:17.105000,HARD,4.0,True,0 days 01:31:51.387000,25.3,19,39.1,0 days 00:00:20.244000,0 days 00:00:36.232000,0 days 00:00:20.629000,1,77.105,5511.387,13.009000000000015,True,False,False,False,False,4.0,0.0,0.0,20.244,36.232,20.629,0,0,0,0.0,79.512,1.6403223768515909,-1.4673944792608113,0,1,77.131,77.064,-0.06700000000000728,0.0,-0.02599999999999625,-1.1039999999999992,0.0,0.16000000000000014,0.588026955164472,-1.1039999999999992,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,23,0 days 00:01:17.064000,HARD,5.0,True,0 days 01:33:08.451000,25.4,19,39.0,0 days 00:00:20.311000,0 days 00:00:36.259000,0 days 00:00:20.494000,1,77.064,5588.451,0.0,True,False,False,False,False,5.0,0.0,0.0,20.311,36.259,20.494,0,0,0,0.0,78.75460000000001,1.716362811296068,-0.9849898802709456,0,0,77.105,76.672,-0.43300000000000693,0.0,-0.04100000000001103,-1.1729999999999972,0.0,0.02499999999999858,0.5546554786531909,-1.1729999999999972,0,0,2023,Monaco Grand Prix,0.0,19,0.0
