Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,12,0 days 00:01:38.934000,SOFT,12.0,True,0 days 01:19:49.936000,9,0 days 00:00:31.510000,0 days 00:00:43.065000,0 days 00:00:24.359000,1,98.934,4789.936,4.976999999999862,False,True,12.0,0.0,0.0,0.0,0.0,31.51,43.065,24.359,0,0,0,0.0,98.814,0.1533737265635837,0.7824025841235364,0,0,98.835,98.823,-0.012000000000000455,0.18299999999999272,0.09900000000000375,0.058333333333332384,0.0,0.1410000000000018,0.13479799701776038,0.058333333333332384,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,13,0 days 00:01:38.823000,SOFT,13.0,True,0 days 01:21:28.759000,6,0 days 00:00:31.569000,0 days 00:00:42.884000,0 days 00:00:24.370000,1,98.823,4888.759,4.951000000000022,False,True,13.0,0.0,0.0,0.0,0.0,31.569,42.884,24.37,0,0,0,0.0,98.8066,0.14454341908229776,0.11346071723025064,0,0,98.934,98.977,0.043000000000006366,0.2819999999999965,-0.1110000000000042,0.09399999999999882,0.0,0.010999999999999233,0.11317110938751149,0.09399999999999882,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,14,0 days 00:01:38.977000,SOFT,14.0,True,0 days 01:23:07.736000,5,0 days 00:00:31.598000,0 days 00:00:42.931000,0 days 00:00:24.448000,1,98.977,4987.736,2.17699999999968,False,True,14.0,0.0,0.0,0.0,0.0,31.598,42.931,24.448,0,0,0,0.0,98.8392,0.11940979859291297,1.1540091485270882,0,0,98.823,97.392,-1.4309999999999974,0.17099999999999227,0.15400000000001057,-0.04300000000000163,0.0,0.08899999999999864,0.10681619727363542,-0.04300000000000163,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,17,0 days 00:01:37.392000,HARD,2.0,True,0 days 01:28:25.640000,14,0 days 00:00:30.812000,0 days 00:00:42.564000,0 days 00:00:24.016000,1,97.392,5305.64,0.9229999999997744,True,False,2.0,0.0,0.0,0.0,0.0,30.812,42.564,24.016,0,0,0,0.0,98.90419999999999,0.07045353078447726,-21.463792987549883,1,0,98.977,97.59,-1.3870000000000005,0.15400000000001057,-1.585000000000008,0.047333333333336704,0.0,-0.3430000000000035,0.0734234295031234,0.047333333333336704,0,1,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,18,0 days 00:01:37.590000,HARD,3.0,True,0 days 01:30:03.230000,14,0 days 00:00:31.214000,0 days 00:00:42.369000,0 days 00:00:24.007000,1,97.59,5403.23,1.4530000000004293,True,False,3.0,0.0,0.0,0.0,0.0,31.214,42.369,24.007,0,0,0,0.0,98.59219999999999,0.6740917593325151,-1.4867412130840543,0,1,97.392,97.763,0.3710000000000093,0.0,0.1980000000000075,-0.5140000000000006,0.0,-0.008999999999996788,0.215120431386702,-0.5140000000000006,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,19,0 days 00:01:37.763000,HARD,4.0,True,0 days 01:31:40.993000,14,0 days 00:00:31.357000,0 days 00:00:42.448000,0 days 00:00:23.958000,1,97.763,5500.993,2.0219999999999345,True,False,4.0,0.0,0.0,0.0,0.0,31.357,42.448,23.958,0,0,0,0.0,98.3432,0.7831102732055107,-0.7408918256493482,0,0,97.59,97.701,0.11099999999999,0.1980000000000075,0.17300000000000182,-0.41099999999999665,0.0,-0.04900000000000304,0.18920147990964725,-0.41099999999999665,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,20,0 days 00:01:37.701000,HARD,5.0,True,0 days 01:33:18.694000,14,0 days 00:00:31.328000,0 days 00:00:42.379000,0 days 00:00:23.994000,1,97.701,5598.694,2.5059999999994034,True,False,5.0,0.0,0.0,0.0,0.0,31.328,42.379,23.994,0,0,0,0.0,98.10900000000001,0.7359324017870219,-0.554398745060406,0,0,97.763,97.918,0.15500000000000114,0.3710000000000093,-0.06200000000001182,-0.40466666666666623,0.0,0.036000000000001364,0.16587103424046176,-0.40466666666666623,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,21,0 days 00:01:37.918000,HARD,6.0,True,0 days 01:34:56.612000,14,0 days 00:00:31.227000,0 days 00:00:42.440000,0 days 00:00:24.251000,1,97.918,5696.612,2.725000000000364,True,False,6.0,0.0,0.0,0.0,0.0,31.227,42.44,24.251,0,0,0,0.0,97.8846,0.6267529816443017,0.05329053228015702,0,0,97.701,98.031,0.3300000000000125,0.3089999999999975,0.21700000000001296,0.10299999999999916,0.0,0.2930000000000028,0.16890293070281684,0.10299999999999916,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,22,0 days 00:01:38.031000,HARD,7.0,True,0 days 01:36:34.643000,14,0 days 00:00:31.199000,0 days 00:00:42.733000,0 days 00:00:24.099000,1,98.031,5794.643,2.4440000000004147,True,False,7.0,0.0,0.0,0.0,0.0,31.199,42.733,24.099,0,0,0,0.0,97.67280000000001,0.19669697506576864,1.8210752853734882,0,0,97.918,97.869,-0.049000000000006594,0.5260000000000105,0.11299999999999955,0.10933333333333432,0.0,0.1410000000000018,0.22706783127515248,0.10933333333333432,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,23,0 days 00:01:37.869000,HARD,8.0,True,0 days 01:38:12.512000,14,0 days 00:00:31.296000,0 days 00:00:42.361000,0 days 00:00:24.212000,1,97.869,5892.512,2.347000000000662,True,False,8.0,0.0,0.0,0.0,0.0,31.296,42.361,24.212,0,0,0,0.0,97.8006,0.1750379958752428,0.3907722986542223,0,0,98.031,98.204,0.1729999999999876,0.4410000000000025,-0.16200000000000614,0.08933333333333356,0.0,0.21799999999999997,0.13744016880082904,0.08933333333333356,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,24,0 days 00:01:38.204000,HARD,9.0,True,0 days 01:39:50.716000,14,0 days 00:00:31.035000,0 days 00:00:42.857000,0 days 00:00:24.312000,1,98.204,5990.716,1.9089999999996508,True,False,9.0,0.0,0.0,0.0,0.0,31.035,42.857,24.312,0,0,0,0.0,97.8564,0.12972201046862306,2.679576108513033,0,0,97.869,98.226,0.3569999999999993,0.16800000000000637,0.33499999999999375,0.056000000000002124,0.0,0.21300000000000097,0.137192200944516,0.056000000000002124,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,25,0 days 00:01:38.226000,HARD,10.0,True,0 days 01:41:28.942000,14,0 days 00:00:31.095000,0 days 00:00:42.952000,0 days 00:00:24.179000,1,98.226,6088.942,1.655999999999949,True,False,10.0,0.0,0.0,0.0,0.0,31.095,42.952,24.179,0,0,0,0.0,97.94460000000001,0.18742811955526045,1.50137557089999,0,0,98.204,98.1,-0.1039999999999992,0.5030000000000001,0.02200000000000557,0.09533333333332905,0.0,0.0799999999999983,0.09690046439517228,0.09533333333332905,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
