Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_None,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,14,0 days 00:01:11.058000,HARD,3.0,True,0 days 01:19:28.720000,15,0 days 00:00:17.816000,0 days 00:00:31.627000,0 days 00:00:21.615000,1,71.058,4768.72,2.0159999999996217,True,False,False,3.0,0.0,0.0,0.0,0.0,17.816,31.627,21.615,0,0,0,0.0,71.68820000000001,0.33028654226293586,-1.9080401995256286,1,1,71.134,71.376,0.24200000000000443,0.0,-0.0759999999999934,-0.25200000000000006,0.0,0.03200000000000003,0.18930795017642643,-0.25200000000000006,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,15,0 days 00:01:11.376000,HARD,4.0,True,0 days 01:20:40.096000,15,0 days 00:00:17.755000,0 days 00:00:31.853000,0 days 00:00:21.768000,1,71.376,4840.096,2.076000000000022,True,False,False,4.0,0.0,0.0,0.0,0.0,17.755,31.853,21.768,0,0,0,0.0,71.5506,0.42880624995446237,-0.40717690103290227,0,1,71.058,70.934,-0.12400000000000944,0.0,0.31799999999999784,-0.30733333333333235,0.0,0.18500000000000227,0.19463375863400573,-0.30733333333333235,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,16,0 days 00:01:10.934000,HARD,5.0,True,0 days 01:21:51.030000,15,0 days 00:00:17.589000,0 days 00:00:31.750000,0 days 00:00:21.595000,1,70.934,4911.03,2.2590000000000146,True,False,False,5.0,0.0,0.0,0.0,0.0,17.589,31.75,21.595,0,0,0,0.0,71.4478,0.3866370390948236,-1.3288949274050093,0,0,71.376,71.121,-0.25500000000000966,0.31799999999999784,-0.4420000000000073,-0.10499999999999925,0.0,0.012000000000000455,0.21753551434191296,-0.10499999999999925,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,17,0 days 00:01:11.121000,HARD,6.0,True,0 days 01:23:02.151000,15,0 days 00:00:17.473000,0 days 00:00:31.937000,0 days 00:00:21.711000,1,71.121,4982.151,2.4080000000003565,True,False,False,6.0,0.0,0.0,0.0,0.0,17.473,31.937,21.711,0,0,0,0.0,71.2386,0.2999513293853179,-0.3920636065891244,0,0,70.934,70.859,-0.07500000000000284,0.0,0.1869999999999976,-0.06666666666666761,0.0,0.11599999999999966,0.2062369995902789,-0.06666666666666761,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,18,0 days 00:01:10.859000,HARD,7.0,True,0 days 01:24:13.010000,15,0 days 00:00:17.263000,0 days 00:00:31.859000,0 days 00:00:21.737000,1,70.859,5053.01,2.407000000000153,True,False,False,7.0,0.0,0.0,0.0,0.0,17.263,31.859,21.737,0,0,0,0.0,71.1246,0.16129724114200936,-1.646649366842962,1,0,71.121,71.37,0.24900000000000944,0.1869999999999976,-0.26200000000000045,0.02099999999999606,0.0,0.14199999999999946,0.21372692857943937,0.02099999999999606,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,19,0 days 00:01:11.370000,HARD,8.0,True,0 days 01:25:24.380000,15,0 days 00:00:17.685000,0 days 00:00:32.058000,0 days 00:00:21.627000,1,71.37,5124.38,2.30199999999968,True,False,False,8.0,0.0,0.0,0.0,0.0,17.685,32.058,21.627,0,0,0,0.0,71.06960000000001,0.19962289447863163,1.5048374124850301,0,1,70.859,71.274,0.41500000000000625,0.0,0.5110000000000099,-0.1723333333333367,0.0,0.03200000000000003,0.0734493022431123,-0.1723333333333367,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,20,0 days 00:01:11.274000,HARD,9.0,True,0 days 01:26:35.654000,15,0 days 00:00:17.629000,0 days 00:00:32.029000,0 days 00:00:21.616000,1,71.274,5195.654,2.4489999999996144,True,False,False,9.0,0.0,0.0,0.0,0.0,17.629,32.029,21.616,0,0,0,0.0,71.13199999999999,0.23980929923592378,0.5921371708788944,0,0,71.37,71.497,0.12699999999999534,0.5110000000000099,-0.09600000000000364,0.14533333333333567,0.0,-0.010999999999999233,0.0734493022431123,0.14533333333333567,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,21,0 days 00:01:11.497000,HARD,10.0,True,0 days 01:27:47.151000,14,0 days 00:00:17.795000,0 days 00:00:31.949000,0 days 00:00:21.753000,1,71.497,5267.151,2.003000000000611,True,False,False,10.0,0.0,0.0,0.0,0.0,17.795,31.949,21.753,0,0,0,0.0,71.1116,0.2171296847508996,1.7749760952407379,0,0,71.274,72.062,0.7879999999999967,0.41500000000000625,0.22299999999999898,0.05100000000000193,0.0,0.13700000000000045,0.0670313359556553,0.05100000000000193,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,22,0 days 00:01:12.062000,HARD,11.0,True,0 days 01:28:59.213000,14,0 days 00:00:17.706000,0 days 00:00:32.131000,0 days 00:00:22.225000,1,72.062,5339.213,0.9750000000003638,True,False,False,11.0,0.0,0.0,0.0,0.0,17.706,32.131,22.225,0,0,0,0.0,71.2242,0.24605832641879338,3.4048837614788074,0,0,71.497,72.174,0.6770000000000067,0.6380000000000052,0.5649999999999977,0.21266666666666842,0.0,0.6090000000000018,0.06878008432678714,0.21266666666666842,0,1,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,23,0 days 00:01:12.174000,HARD,12.0,True,0 days 01:30:11.387000,14,0 days 00:00:17.893000,0 days 00:00:32.250000,0 days 00:00:22.031000,1,72.174,5411.387,0.4220000000004802,True,False,False,12.0,0.0,0.0,0.0,0.0,17.893,32.25,22.031,0,0,0,0.0,71.4124,0.43483939563936275,1.751451243004762,0,0,72.062,72.537,0.4750000000000085,1.203000000000003,0.11200000000000898,0.23066666666666436,0.0,0.41499999999999915,0.24784208682142808,0.23066666666666436,0,1,2022,Qatar Grand Prix,2022_Qatar Grand Prix
