Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,15,0 days 00:02:03.057000,INTERMEDIATE,15.0,True,0 days 02:40:49.739000,27.3,17,28.7,0 days 00:00:32.017000,0 days 00:00:48.407000,0 days 00:00:42.633000,1,123.057,9649.739,2.355999999999767,True,False,False,15.0,0.0,0.0,32.017,48.407,42.633,0,0,0,0.0,123.5414,0.8607190598563995,-0.5627852601298383,0,0,123.222,123.125,-0.0969999999999942,0.5699999999999932,-0.16499999999999204,-0.12900000000000014,0.0,0.25500000000000256,0.3405755422810045,-0.12900000000000014,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALB,16,0 days 00:02:03.125000,INTERMEDIATE,16.0,True,0 days 02:42:52.864000,27.3,17,29.0,0 days 00:00:31.959000,0 days 00:00:48.581000,0 days 00:00:42.585000,1,123.125,9772.864,2.007999999999811,True,False,False,16.0,0.0,0.0,31.959,48.581,42.585,0,0,0,0.0,123.16220000000001,0.34871722068187005,-0.10667669330259381,0,0,123.057,123.446,0.3889999999999958,0.40500000000000114,0.06799999999999784,-0.07133333333333287,0.0,0.20700000000000074,0.28861687407357245,-0.07133333333333287,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALB,17,0 days 00:02:03.446000,INTERMEDIATE,17.0,True,0 days 02:44:56.310000,27.3,17,28.8,0 days 00:00:32.245000,0 days 00:00:48.698000,0 days 00:00:42.503000,1,123.446,9896.31,1.360000000000582,True,False,False,17.0,0.0,0.0,32.245,48.698,42.503,0,0,0,0.0,123.0654,0.24562023532292537,1.54954659781843,0,0,123.125,123.364,0.23900000000000432,0.472999999999999,0.32099999999999795,0.15766666666666632,0.0,-0.08200000000000074,0.294898796199646,0.15766666666666632,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALB,18,0 days 00:02:03.364000,INTERMEDIATE,18.0,True,0 days 02:46:59.674000,27.3,17,28.6,0 days 00:00:32.020000,0 days 00:00:48.730000,0 days 00:00:42.614000,1,123.364,10019.674,0.8069999999988795,True,False,False,18.0,0.0,0.0,32.02,48.73,42.614,0,0,0,0.0,123.10040000000001,0.29059301436904744,0.9071105875423071,0,0,123.446,122.806,-0.6400000000000006,0.7939999999999969,-0.08199999999999363,0.07466666666666792,0.0,0.1109999999999971,0.26821129730121523,0.07466666666666792,0,1,2022,Singapore Grand Prix,0.0,19,0.0
ALB,19,0 days 00:02:02.806000,INTERMEDIATE,19.0,True,0 days 02:49:02.480000,27.3,17,27.8,0 days 00:00:31.954000,0 days 00:00:48.370000,0 days 00:00:42.482000,1,122.806,10142.48,0.7620000000006257,True,False,False,19.0,0.0,0.0,31.954,48.37,42.482,0,0,0,0.0,123.24279999999999,0.1618724806756619,-2.6984203749567013,1,0,123.364,123.093,-0.2710000000000008,0.30700000000000216,-0.5580000000000069,0.10233333333333405,0.0,-0.021000000000000796,0.16264224543457467,0.10233333333333405,0,1,2022,Singapore Grand Prix,0.0,19,0.0
ALB,20,0 days 00:02:03.093000,INTERMEDIATE,20.0,True,0 days 02:51:05.573000,27.3,17,27.6,0 days 00:00:32.112000,0 days 00:00:48.382000,0 days 00:00:42.599000,1,123.093,10265.573,0.7569999999996071,True,False,False,20.0,0.0,0.0,32.112,48.382,42.599,0,0,0,0.0,123.1596,0.25522597830176297,-0.26094522369212114,0,1,122.806,123.038,0.23199999999999932,0.0,0.28700000000000614,-0.10633333333333421,0.0,0.11699999999999733,0.1442047155955739,-0.10633333333333421,0,1,2022,Singapore Grand Prix,0.0,19,0.0
ALB,23,0 days 00:02:03.038000,INTERMEDIATE,23.0,True,0 days 02:57:58.891000,27.2,16,27.7,0 days 00:00:32.248000,0 days 00:00:48.013000,0 days 00:00:42.777000,1,123.038,10678.891,21.29200000000128,True,False,False,23.0,0.0,0.0,32.248,48.013,42.777,0,0,0,0.0,123.1668,0.25209660846606397,-0.5109152431034656,0,0,123.093,122.121,-0.9720000000000084,0.28700000000000614,-0.05500000000000682,-0.11766666666666481,0.0,0.2950000000000017,0.11616712099385106,-0.11766666666666481,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALO,2,0 days 00:02:04.847000,INTERMEDIATE,2.0,True,0 days 02:12:14.402000,26.9,6,29.9,0 days 00:00:32.888000,0 days 00:00:48.848000,0 days 00:00:43.111000,1,124.847,7934.402,1.8260000000000218,True,False,False,2.0,0.0,0.0,32.888,48.848,43.111,0,0,0,0.0,122.8844,0.47065093222056253,4.169969430933276,0,0,124.847,123.306,-1.5409999999999968,2.725999999999999,0.0,-0.22833333333333408,0.0,0.7139999999999986,0.14656329690614983,0.0,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALO,3,0 days 00:02:03.306000,INTERMEDIATE,3.0,True,0 days 02:14:17.708000,26.9,6,29.8,0 days 00:00:32.174000,0 days 00:00:48.351000,0 days 00:00:42.781000,1,123.306,8057.708,2.3640000000004875,True,False,False,3.0,0.0,0.0,32.174,48.351,42.781,0,0,0,0.0,,,0.0,0,0,124.847,122.935,-1.911999999999992,0.0,-1.5409999999999968,0.0,0.0,0.0,0.0,0.0,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALO,4,0 days 00:02:02.935000,INTERMEDIATE,4.0,True,0 days 02:16:20.643000,26.8,6,29.4,0 days 00:00:32.232000,0 days 00:00:48.201000,0 days 00:00:42.502000,1,122.935,8180.643,2.831000000000131,True,False,False,4.0,0.0,0.0,32.232,48.201,42.502,0,0,0,0.0,,,0.0,0,0,123.306,122.858,-0.4479999999999933,0.0,-0.3709999999999951,-0.7704999999999984,0.0,-0.27899999999999636,0.0,0.0,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALO,5,0 days 00:02:02.858000,INTERMEDIATE,5.0,True,0 days 02:18:23.501000,26.9,6,29.3,0 days 00:00:31.980000,0 days 00:00:48.373000,0 days 00:00:42.505000,1,122.858,8303.501,3.631999999999607,True,False,False,5.0,0.0,0.0,31.98,48.373,42.505,0,0,0,0.0,123.69599999999998,1.013908773016583,-0.8265043387550152,0,0,122.935,122.447,-0.48799999999999955,0.0,-0.07699999999999818,-0.6373333333333306,0.0,0.0030000000000001137,0.5121337715870704,-0.955999999999996,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALO,6,0 days 00:02:02.447000,INTERMEDIATE,6.0,True,0 days 02:20:25.948000,27.0,6,29.4,0 days 00:00:32.001000,0 days 00:00:48.023000,0 days 00:00:42.423000,1,122.447,8425.948,4.837999999999738,True,False,False,6.0,0.0,0.0,32.001,48.023,42.423,0,0,0,0.0,123.4865,0.9278478682772631,-1.1203345241607825,0,0,122.858,122.399,-0.4590000000000032,0.0,-0.41100000000000136,-0.6629999999999967,0.0,-0.07900000000000063,0.42414030697399946,-0.6629999999999967,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALO,7,0 days 00:02:02.399000,INTERMEDIATE,7.0,True,0 days 02:22:28.347000,27.0,6,29.4,0 days 00:00:31.984000,0 days 00:00:47.941000,0 days 00:00:42.474000,12,122.399,8548.347,5.567000000000917,True,False,False,7.0,0.0,0.0,31.984,47.941,42.474,0,0,1,0.0,123.27860000000001,0.9283255355746707,-0.9475124471885856,0,0,122.447,122.788,0.340999999999994,0.0,-0.04800000000000182,-0.28633333333333155,0.0,0.05099999999999483,0.37686562591990125,-0.28633333333333155,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALO,11,0 days 00:02:02.788000,INTERMEDIATE,11.0,True,0 days 02:32:19.927000,27.0,6,29.1,0 days 00:00:32.065000,0 days 00:00:48.093000,0 days 00:00:42.630000,1,122.788,9139.927,1.566000000000713,True,False,False,11.0,0.0,0.0,32.065,48.093,42.63,0,0,0,0.0,122.78900000000002,0.37497666594071893,-0.002666832608131084,0,0,122.399,121.994,-0.40500000000000114,0.0,0.3889999999999958,-0.1786666666666671,0.0,0.20700000000000074,0.130584072535663,-0.1786666666666671,0,0,2022,Singapore Grand Prix,0.0,19,0.0
ALO,12,0 days 00:02:01.994000,INTERMEDIATE,12.0,True,0 days 02:34:21.921000,27.2,6,29.5,0 days 00:00:31.789000,0 days 00:00:47.796000,0 days 00:00:42.409000,1,121.994,9261.921,0.5389999999988504,True,False,False,12.0,0.0,0.0,31.789,47.796,42.409,0,0,0,0.0,122.6854,0.24570164834616368,-2.813981935627486,1,0,122.788,121.844,-0.9440000000000026,0.3889999999999958,-0.7939999999999969,-0.023333333333335798,0.0,-0.014000000000002899,0.1786471382362433,-0.023333333333335798,0,1,2022,Singapore Grand Prix,0.0,19,0.0
ALO,13,0 days 00:02:01.844000,INTERMEDIATE,13.0,True,0 days 02:36:23.765000,27.2,6,29.1,0 days 00:00:31.933000,0 days 00:00:47.707000,0 days 00:00:42.204000,1,121.844,9383.765,0.5370000000002619,True,False,False,13.0,0.0,0.0,31.933,47.707,42.204,0,0,0,0.0,122.49719999999999,0.346451583919066,-1.885400530172179,1,1,121.994,121.474,-0.519999999999996,0.0,-0.15000000000000568,-0.151000000000001,0.0,-0.2049999999999983,0.10753046080064986,-0.151000000000001,0,1,2022,Singapore Grand Prix,0.0,19,0.0
ALO,14,0 days 00:02:01.474000,INTERMEDIATE,14.0,True,0 days 02:38:25.239000,27.3,6,29.1,0 days 00:00:31.837000,0 days 00:00:47.395000,0 days 00:00:42.242000,1,121.474,9505.239,0.6210000000010041,True,False,False,14.0,0.0,0.0,31.837,47.395,42.242,0,0,0,0.0,122.2944,0.3778125196443881,-2.1714473643493464,1,1,121.844,121.425,-0.41899999999999693,0.0,-0.36999999999999034,-0.18500000000000227,0.0,0.0379999999999967,0.15296404806358832,-0.18500000000000227,0,1,2022,Singapore Grand Prix,0.0,19,0.0
ALO,15,0 days 00:02:01.425000,INTERMEDIATE,15.0,True,0 days 02:40:26.664000,27.3,6,28.7,0 days 00:00:31.932000,0 days 00:00:47.510000,0 days 00:00:41.983000,1,121.425,9626.664,0.602999999999156,True,False,False,15.0,0.0,0.0,31.932,47.51,41.983,0,0,0,0.0,122.0998,0.5077875540027033,-1.328902204634209,0,1,121.474,120.911,-0.5630000000000024,0.0,-0.049000000000006594,-0.43799999999999767,0.0,-0.22100000000000364,0.1482642910481137,-0.43799999999999767,0,1,2022,Singapore Grand Prix,0.0,19,0.0
ALO,16,0 days 00:02:00.911000,INTERMEDIATE,16.0,True,0 days 02:42:27.575000,27.3,6,28.7,0 days 00:00:31.819000,0 days 00:00:47.279000,0 days 00:00:41.813000,1,120.911,9747.575,0.8299999999999272,True,False,False,16.0,0.0,0.0,31.819,47.279,41.813,0,0,0,0.0,121.905,0.5494297043299139,-1.8091486356972366,1,0,121.425,120.964,-0.4609999999999985,0.0,-0.5139999999999958,-0.18966666666666754,0.0,-0.1699999999999946,0.1787106600066154,-0.18966666666666754,0,1,2022,Singapore Grand Prix,0.0,19,0.0
ALO,17,0 days 00:02:00.964000,INTERMEDIATE,17.0,True,0 days 02:44:28.539000,27.3,6,28.7,0 days 00:00:31.897000,0 days 00:00:47.098000,0 days 00:00:41.969000,1,120.964,9868.539,0.7749999999996362,True,False,False,17.0,0.0,0.0,31.897,47.098,41.969,0,0,0,0.0,121.5296,0.42166728590213476,-1.3413419037000518,0,1,120.911,120.709,-0.20199999999999818,0.0,0.05299999999999727,-0.31099999999999756,0.0,0.1559999999999988,0.11828905274791719,-0.31099999999999756,0,1,2022,Singapore Grand Prix,0.0,19,0.0
ALO,18,0 days 00:02:00.709000,INTERMEDIATE,18.0,True,0 days 02:46:29.248000,27.3,6,28.6,0 days 00:00:31.875000,0 days 00:00:46.895000,0 days 00:00:41.939000,1,120.709,9989.248,0.8729999999995925,True,False,False,18.0,0.0,0.0,31.875,46.895,41.939,0,0,0,0.0,121.32359999999998,0.3883520310235085,-1.5825847450319563,1,0,120.964,120.463,-0.5010000000000048,0.05299999999999727,-0.25499999999999545,-0.1700000000000017,0.0,0.12599999999999767,0.16824476217701262,-0.1700000000000017,0,1,2022,Singapore Grand Prix,0.0,19,0.0
