Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,28,0 days 00:01:44.367000,INTERMEDIATE,16.0,True,0 days 01:54:32.806000,17.4,11,22.8,0 days 00:00:32.586000,0 days 00:00:43.132000,0 days 00:00:28.649000,1,104.367,6872.806,0.9640000000008513,False,True,False,False,16.0,0.0,0.0,32.586,43.132,28.649,0,0,0,0.0,104.7378,0.9447064094203507,-0.3925028943410075,0,0,104.082,104.591,0.5090000000000003,0.07199999999998852,0.2850000000000108,-0.2880000000000014,0.0,0.28200000000000003,0.29528918029619694,-0.2880000000000014,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,29,0 days 00:01:44.591000,INTERMEDIATE,17.0,True,0 days 01:56:17.397000,17.5,11,22.4,0 days 00:00:32.552000,0 days 00:00:43.239000,0 days 00:00:28.800000,1,104.591,6977.397,0.8450000000002547,False,True,False,False,17.0,0.0,0.0,32.552,43.239,28.8,0,0,0,0.0,104.35239999999999,0.36842543343245004,0.6476208707338116,0,0,104.367,104.618,0.25099999999999056,0.3569999999999993,0.22399999999998954,0.11899999999999977,0.0,0.30400000000000205,0.2452380476190425,0.11899999999999977,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,30,0 days 00:01:44.618000,INTERMEDIATE,18.0,True,0 days 01:58:02.015000,17.7,11,22.4,0 days 00:00:32.677000,0 days 00:00:43.093000,0 days 00:00:28.848000,1,104.618,7082.015,0.7379999999993743,False,True,False,False,18.0,0.0,0.0,32.677,43.093,28.848,0,0,0,0.0,104.2814,0.23575050371078515,1.4277806185005033,0,0,104.591,104.761,0.1700000000000017,0.5809999999999889,0.027000000000001023,0.07799999999999822,0.0,0.3520000000000003,0.23536036199836197,0.07799999999999822,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,31,0 days 00:01:44.761000,INTERMEDIATE,19.0,True,0 days 01:59:46.776000,17.7,11,23.0,0 days 00:00:32.500000,0 days 00:00:43.452000,0 days 00:00:28.809000,1,104.761,7186.776,0.8090000000001965,False,True,False,False,19.0,0.0,0.0,32.5,43.452,28.809,0,0,0,0.0,104.40299999999999,0.2168075183195611,1.6512342504300697,0,0,104.618,105.126,0.5080000000000098,0.5360000000000014,0.14300000000000068,0.1786666666666671,0.0,0.16000000000000014,0.09940724319686273,0.1786666666666671,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,32,0 days 00:01:45.126000,INTERMEDIATE,20.0,True,0 days 02:01:31.902000,17.9,11,23.5,0 days 00:00:32.672000,0 days 00:00:43.841000,0 days 00:00:28.613000,1,105.126,7291.902,0.8699999999998909,False,True,False,False,20.0,0.0,0.0,32.672,43.841,28.613,0,0,0,0.0,104.4838,0.2652483741701078,2.4211269984567365,0,0,104.761,104.063,-0.6979999999999933,0.679000000000002,0.3650000000000091,0.13133333333333042,0.0,-0.18700000000000117,0.09614988299524989,0.13133333333333042,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,33,0 days 00:01:44.063000,INTERMEDIATE,21.0,True,0 days 02:03:15.965000,18.0,11,23.5,0 days 00:00:32.491000,0 days 00:00:43.087000,0 days 00:00:28.485000,1,104.063,7395.965,0.9030000000002474,False,True,False,False,21.0,0.0,0.0,32.491,43.087,28.485,0,0,0,0.0,104.6926,0.28036458406846915,-2.245647402620007,1,0,105.126,104.29,-0.8359999999999985,0.7590000000000003,-1.0630000000000024,0.17833333333333692,0.0,-0.1280000000000001,0.21819074224173765,0.17833333333333692,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,34,0 days 00:01:44.290000,INTERMEDIATE,22.0,True,0 days 02:05:00.255000,18.2,11,23.2,0 days 00:00:32.282000,0 days 00:00:43.220000,0 days 00:00:28.788000,1,104.29,7500.255,0.6369999999997162,False,True,False,False,22.0,0.0,0.0,32.282,43.22,28.788,0,0,0,0.0,104.6318,0.3828559781430684,-0.8927639099637249,0,1,104.063,105.664,1.600999999999999,0.0,0.22700000000000387,-0.18499999999999753,0.0,0.3030000000000008,0.2465120686700764,-0.18499999999999753,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,35,0 days 00:01:45.664000,INTERMEDIATE,23.0,True,0 days 02:06:45.919000,18.3,12,23.3,0 days 00:00:33.615000,0 days 00:00:43.410000,0 days 00:00:28.639000,1,105.664,7605.919,0.7330000000001746,False,True,False,False,23.0,0.0,0.0,33.615,43.41,28.639,0,0,0,0.0,104.57159999999999,0.41332711016806606,2.6429430180754974,0,0,104.29,102.965,-1.3250000000000028,0.22700000000000387,1.3739999999999952,-0.15699999999999648,0.0,0.15399999999999991,0.24630570435944096,-0.15699999999999648,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,36,0 days 00:01:42.965000,INTERMEDIATE,24.0,True,0 days 02:08:28.884000,18.5,12,23.2,0 days 00:00:32.306000,0 days 00:00:42.473000,0 days 00:00:28.186000,1,102.965,7708.884,0.7049999999999272,False,True,False,False,24.0,0.0,0.0,32.306,42.473,28.186,0,0,0,0.0,104.7808,0.6433736861264108,-2.8223100185095626,1,0,105.664,102.684,-2.980000000000004,1.600999999999999,-2.698999999999998,0.17933333333333223,0.0,-0.2989999999999995,0.2087086485989507,0.17933333333333223,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,37,0 days 00:01:42.684000,INTERMEDIATE,25.0,True,0 days 02:10:11.568000,18.5,12,23.7,0 days 00:00:32.181000,0 days 00:00:42.431000,0 days 00:00:28.072000,1,102.684,7811.568,1.1899999999995998,False,True,False,False,25.0,0.0,0.0,32.181,42.431,28.072,0,0,0,0.0,104.42160000000001,1.0377057868200845,-1.6744630530823825,1,1,102.965,102.667,-0.2980000000000018,0.0,-0.2810000000000059,-0.36599999999999966,0.0,-0.11400000000000077,0.250673692277431,-0.36599999999999966,0,0,2025,British Grand Prix,0.0,18,0.0
