Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALO,14,0 days 00:01:16.341000,SOFT,15.0,True,0 days 01:47:08.186000,20.6,3,49.1,0 days 00:00:19.777000,0 days 00:00:39.089000,0 days 00:00:17.475000,1,76.341,6428.186,5.288000000000466,False,True,15.0,0.0,0.0,19.777,39.089,17.475,0,0,0,0.0,76.3518,0.09657743007521967,-0.11182736993096248,0,0,76.336,76.398,0.06199999999999761,0.08599999999999852,0.0049999999999954525,0.028666666666666174,0.0,0.03500000000000014,0.060528505681206456,0.028666666666666174,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,15,0 days 00:01:16.398000,SOFT,16.0,True,0 days 01:48:24.584000,20.6,3,48.9,0 days 00:00:19.632000,0 days 00:00:39.191000,0 days 00:00:17.575000,1,76.398,6504.584,5.867000000000189,False,True,16.0,0.0,0.0,19.632,39.191,17.575,0,0,0,0.0,76.3646,0.08804998580314254,0.3793299873400804,0,0,76.341,76.388,0.047000000000011255,0.09099999999999397,0.05700000000000216,-0.02366666666667072,0.0,0.10899999999999821,0.046097722286463035,-0.02366666666667072,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,16,0 days 00:01:16.388000,SOFT,17.0,True,0 days 01:49:40.972000,20.9,3,49.0,0 days 00:00:19.583000,0 days 00:00:39.138000,0 days 00:00:17.667000,1,76.388,6580.972,6.731000000000677,False,True,17.0,0.0,0.0,19.583,39.138,17.667,0,0,0,0.0,76.3942,0.06044170745381831,-0.10257817426368852,0,0,76.398,76.617,0.2190000000000083,0.06199999999999761,-0.009999999999990905,-0.028666666666666174,0.0,0.19200000000000017,0.051728135477705224,-0.028666666666666174,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,17,0 days 00:01:16.617000,SOFT,18.0,True,0 days 01:50:57.589000,21.0,3,48.7,0 days 00:00:19.700000,0 days 00:00:39.220000,0 days 00:00:17.697000,1,76.617,6657.589,7.47400000000016,False,True,18.0,0.0,0.0,19.7,39.22,17.697,0,0,0,0.0,76.3894,0.05962214353688625,3.817373655128668,0,0,76.388,76.954,0.5659999999999883,0.05200000000000671,0.2289999999999992,0.01733333333333557,0.0,0.22199999999999775,0.06615360912300944,0.01733333333333557,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,18,0 days 00:01:16.954000,SOFT,19.0,True,0 days 01:52:14.543000,21.0,3,48.7,0 days 00:00:19.729000,0 days 00:00:39.523000,0 days 00:00:17.702000,1,76.954,6734.543,8.199000000000524,False,True,19.0,0.0,0.0,19.729,39.523,17.702,0,0,0,0.0,76.416,0.11568707792978458,4.650476177871238,0,0,76.617,76.51,-0.10699999999999932,0.2810000000000059,0.3369999999999891,0.09200000000000348,0.0,0.12700000000000244,0.07324274708119526,0.09200000000000348,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,19,0 days 00:01:16.510000,SOFT,20.0,True,0 days 01:53:31.053000,20.8,3,48.9,0 days 00:00:19.717000,0 days 00:00:39.145000,0 days 00:00:17.648000,1,76.51,6811.053,8.618999999999687,False,True,20.0,0.0,0.0,19.717,39.145,17.648,0,0,0,0.0,76.53960000000001,0.25504568218247237,-0.11605764013218917,0,0,76.954,76.853,-0.10099999999999909,0.6129999999999995,-0.4439999999999884,0.18533333333333246,0.0,-0.019000000000001904,0.07337915235269425,0.18533333333333246,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,20,0 days 00:01:16.853000,SOFT,21.0,True,0 days 01:54:47.906000,20.6,3,48.9,0 days 00:00:19.755000,0 days 00:00:39.476000,0 days 00:00:17.622000,1,76.853,6887.906,11.811999999999898,False,True,21.0,0.0,0.0,19.755,39.476,17.622,0,0,0,0.0,76.5734,0.23233338115716434,1.2034430808324075,0,0,76.51,76.615,0.10499999999998977,0.12199999999999989,0.3429999999999893,0.04066666666666663,0.0,-0.0259999999999998,0.09339004229573972,0.04066666666666663,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,21,0 days 00:01:16.615000,SOFT,22.0,True,0 days 01:56:04.521000,20.5,3,48.3,0 days 00:00:19.592000,0 days 00:00:39.313000,0 days 00:00:17.710000,1,76.615,6964.521,12.557999999999993,False,True,22.0,0.0,0.0,19.592,39.313,17.71,0,0,0,0.0,76.6644,0.2355425651552491,-0.20972854722646625,0,0,76.853,76.5,-0.35299999999999443,0.4649999999999892,-0.23799999999999955,0.07866666666666333,0.0,0.08800000000000097,0.11630864112352102,0.07866666666666333,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,22,0 days 00:01:16.500000,SOFT,23.0,True,0 days 01:57:21.021000,20.6,3,48.3,0 days 00:00:19.576000,0 days 00:00:39.237000,0 days 00:00:17.687000,1,76.5,7041.021,13.722999999999956,False,True,23.0,0.0,0.0,19.576,39.237,17.687,0,0,0,0.0,76.7098,0.18551199422116646,-1.1309241802978993,0,0,76.615,76.687,0.07200000000000273,0.10499999999998977,-0.11499999999999488,-0.11299999999999955,0.0,0.06500000000000128,0.10423674975746311,-0.11299999999999955,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,23,0 days 00:01:16.687000,SOFT,24.0,True,0 days 01:58:37.708000,20.5,3,48.5,0 days 00:00:19.652000,0 days 00:00:39.365000,0 days 00:00:17.670000,1,76.687,7117.708,13.788000000000466,False,True,24.0,0.0,0.0,19.652,39.365,17.67,0,0,0,0.0,76.6864,0.20635236853478445,0.0029076477495840096,0,0,76.5,77.281,0.7810000000000059,0.0,0.1869999999999976,-0.0033333333333350388,0.0,0.04800000000000182,0.06724953531438106,-0.0033333333333350388,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
