Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_None,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,17,0 days 00:01:47.705000,MEDIUM,5.0,True,0 days 02:52:19.840000,17.8,6,26.1,0 days 00:00:31.355000,0 days 00:00:47.449000,0 days 00:00:28.901000,1,107.705,10339.84,0.9940000000005966,False,False,True,False,5.0,0.0,0.0,31.355,47.449,28.901,0,0,0,0.0,114.86979999999998,8.17071157855913,-0.8768881303803734,0,0,107.973,107.684,-0.2890000000000015,0.0,-0.2680000000000007,-5.155333333333331,0.0,0.07699999999999818,1.5461147434779856,-5.155333333333331,0,1,2025,Belgian Grand Prix,0.0,19,0.0
ALB,18,0 days 00:01:47.684000,MEDIUM,6.0,True,0 days 02:54:07.524000,17.9,6,26.2,0 days 00:00:31.281000,0 days 00:00:47.511000,0 days 00:00:28.892000,1,107.684,10447.524,0.9580000000005384,False,False,True,False,6.0,0.0,0.0,31.281,47.511,28.892,0,0,0,0.0,111.59,6.695531718989937,-0.5833741312765002,0,0,107.705,107.657,-0.04800000000000182,0.0,-0.021000000000000796,-0.8389999999999986,0.0,0.06799999999999784,1.4823033765056313,-0.8389999999999986,0,1,2025,Belgian Grand Prix,0.0,19,0.0
ALB,19,0 days 00:01:47.657000,MEDIUM,7.0,True,0 days 02:55:55.181000,17.9,6,26.2,0 days 00:00:31.216000,0 days 00:00:47.516000,0 days 00:00:28.925000,1,107.657,10555.181,1.2960000000002765,False,False,True,False,7.0,0.0,0.0,31.216,47.516,28.925,0,0,0,0.0,108.439,1.0647311867323672,-0.7344576826005581,0,0,107.684,107.351,-0.3329999999999984,0.0,-0.027000000000001023,-0.3090000000000022,0.0,0.07400000000000162,1.4980479631840882,-0.3090000000000022,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALB,20,0 days 00:01:47.351000,MEDIUM,8.0,True,0 days 02:57:42.532000,17.8,6,26.4,0 days 00:00:31.202000,0 days 00:00:47.305000,0 days 00:00:28.844000,1,107.351,10662.532,1.9940000000005966,False,False,True,False,8.0,0.0,0.0,31.202,47.305,28.844,0,0,0,0.0,107.926,0.4034848200373245,-1.4250845916503434,0,0,107.657,107.431,-0.2259999999999991,0.0,-0.3059999999999974,-0.10533333333333417,0.0,-0.047999999999998266,0.04402839992550884,-0.10533333333333417,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALB,21,0 days 00:01:47.431000,MEDIUM,9.0,True,0 days 02:59:29.963000,17.9,6,25.8,0 days 00:00:31.163000,0 days 00:00:47.514000,0 days 00:00:28.754000,1,107.431,10769.963,2.4580000000005384,False,False,True,False,9.0,0.0,0.0,31.163,47.514,28.754,0,0,0,0.0,107.674,0.22083930809655872,-1.1003475880016842,0,0,107.351,107.63,0.27899999999999636,0.0,0.0799999999999983,-0.11799999999999973,0.0,-0.08999999999999986,0.05296508283766265,-0.11799999999999973,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALB,22,0 days 00:01:47.630000,MEDIUM,10.0,True,0 days 03:01:17.593000,18.0,6,26.0,0 days 00:00:31.186000,0 days 00:00:47.637000,0 days 00:00:28.807000,1,107.63,10877.593,2.5349999999998545,False,False,True,False,10.0,0.0,0.0,31.186,47.637,28.807,0,0,0,0.0,107.56559999999999,0.16276916170015956,0.3956523418031654,0,0,107.431,107.515,0.08400000000000318,0.0799999999999983,0.19899999999999807,-0.08433333333333337,0.0,0.05299999999999727,0.07924771290075465,-0.08433333333333337,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALB,23,0 days 00:01:47.515000,MEDIUM,11.0,True,0 days 03:03:05.108000,18.1,6,25.8,0 days 00:00:31.056000,0 days 00:00:47.596000,0 days 00:00:28.863000,1,107.515,10985.108,2.3739999999997963,False,False,True,False,11.0,0.0,0.0,31.056,47.596,28.863,0,0,0,0.0,107.5506,0.14963722799014073,-0.23790871080790071,0,0,107.63,107.512,-0.117999999999995,0.27899999999999636,-0.11499999999999488,-0.009000000000000341,0.0,0.10899999999999821,0.07527150855403682,-0.009000000000000341,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALB,24,0 days 00:01:47.512000,MEDIUM,12.0,True,0 days 03:04:52.620000,18.0,6,24.7,0 days 00:00:31.153000,0 days 00:00:47.526000,0 days 00:00:28.833000,1,107.512,11092.62,1.8979999999992287,False,False,True,False,12.0,0.0,0.0,31.153,47.526,28.833,0,0,0,0.0,107.51679999999999,0.12973511475531554,-0.03699846420949149,0,0,107.515,107.374,-0.14100000000000534,0.16400000000000148,-0.0030000000000001137,0.05466666666666716,0.0,0.07899999999999707,0.08463037279842513,0.05466666666666716,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALB,25,0 days 00:01:47.374000,MEDIUM,13.0,True,0 days 03:06:39.994000,17.7,6,24.5,0 days 00:00:31.149000,0 days 00:00:47.393000,0 days 00:00:28.832000,1,107.374,11199.994,1.9259999999994761,False,False,True,False,13.0,0.0,0.0,31.149,47.393,28.832,0,0,0,0.0,107.4878,0.10426744458639213,-1.0914240820940733,0,0,107.512,107.538,0.02599999999999625,0.16100000000000136,-0.13800000000000523,0.027000000000001023,0.0,0.02500000000000213,0.08545934706046078,0.027000000000001023,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALB,26,0 days 00:01:47.538000,MEDIUM,14.0,True,0 days 03:08:27.532000,17.5,6,24.2,0 days 00:00:31.210000,0 days 00:00:47.528000,0 days 00:00:28.800000,1,107.538,11307.532,1.478000000000975,False,False,True,False,14.0,0.0,0.0,31.21,47.528,28.8,0,0,0,0.0,107.4924,0.09697577017263774,0.47022055013139247,0,0,107.374,107.162,-0.21199999999998909,0.0,0.16400000000000148,-0.08533333333333341,0.0,-0.03200000000000003,0.07658459375096527,-0.08533333333333341,0,0,2025,Belgian Grand Prix,0.0,19,0.0
