Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,12,0 days 00:01:31.958000,MEDIUM,13.0,True,0 days 01:20:55.792000,26.8,17,32.5,0 days 00:00:18.547000,0 days 00:00:38.860000,0 days 00:00:34.551000,1,91.958,4855.792,1.376999999999498,False,True,13.0,0.0,0.0,18.547,38.86,34.551,0,0,0,0.0,91.7204,0.23980575472662372,0.9908019107834265,0,0,91.962,91.7,-0.26200000000000045,0.5240000000000009,-0.0040000000000048885,0.127333333333335,0.0,0.15800000000000125,0.21049180506613469,0.127333333333335,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,13,0 days 00:01:31.700000,MEDIUM,14.0,True,0 days 01:22:27.492000,26.8,15,32.5,0 days 00:00:18.568000,0 days 00:00:38.523000,0 days 00:00:34.609000,1,91.7,4947.492,1.7269999999998618,False,True,14.0,0.0,0.0,18.568,38.523,34.609,0,0,0,0.0,91.8244,0.1953530137981065,-0.6367959090129997,0,0,91.958,91.655,-0.30299999999999727,0.3780000000000001,-0.25799999999999557,0.10466666666666431,0.0,0.09900000000000375,0.16694550008909997,0.10466666666666431,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,14,0 days 00:01:31.655000,MEDIUM,15.0,True,0 days 01:23:59.147000,26.8,13,32.5,0 days 00:00:18.478000,0 days 00:00:38.871000,0 days 00:00:34.306000,1,91.655,5039.147,1.8969999999999345,False,True,15.0,0.0,0.0,18.478,38.871,34.306,0,0,0,0.0,91.8484,0.16241551650012456,-1.1907729271657894,0,0,91.7,91.729,0.028999999999996362,0.055999999999997385,-0.045000000000001705,-0.09266666666666386,0.0,-0.20400000000000063,0.10791802444448147,-0.09266666666666386,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,15,0 days 00:01:31.729000,MEDIUM,16.0,True,0 days 01:25:30.876000,26.8,11,32.3,0 days 00:00:18.450000,0 days 00:00:39.002000,0 days 00:00:34.277000,1,91.729,5130.876,3.8869999999997162,False,True,16.0,0.0,0.0,18.45,39.002,34.277,0,0,0,0.0,91.8506,0.15899308161049897,-0.7648131526747581,0,0,91.655,90.463,-1.1920000000000073,0.0,0.07399999999999807,-0.10233333333333405,0.0,-0.028999999999996362,0.21381253471206943,-0.10233333333333405,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,18,0 days 00:01:30.463000,HARD,2.0,True,0 days 01:30:27.522000,26.7,19,32.6,0 days 00:00:18.340000,0 days 00:00:38.394000,0 days 00:00:33.729000,1,90.463,5427.522,1.9809999999997672,True,False,2.0,0.0,0.0,18.34,38.394,33.729,0,0,0,0.0,91.80080000000001,0.14770815820395788,-9.05704882023347,1,0,91.729,90.573,-1.156000000000006,0.07399999999999807,-1.2660000000000053,-0.07633333333333307,0.0,-0.5480000000000018,0.17601789681734029,-0.07633333333333307,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,19,0 days 00:01:30.573000,HARD,3.0,True,0 days 01:31:58.095000,26.7,19,32.6,0 days 00:00:18.339000,0 days 00:00:38.459000,0 days 00:00:33.775000,1,90.573,5518.095,1.77599999999984,True,False,3.0,0.0,0.0,18.339,38.459,33.775,0,0,0,0.0,91.501,0.5919446764690358,-1.5677140734427306,1,1,90.463,90.392,-0.07099999999999795,0.0,0.10999999999999943,-0.4123333333333363,0.0,0.045999999999999375,0.28399419008141896,-0.4123333333333363,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,20,0 days 00:01:30.392000,HARD,4.0,True,0 days 01:33:28.487000,26.7,19,32.6,0 days 00:00:18.321000,0 days 00:00:38.348000,0 days 00:00:33.723000,1,90.392,5608.487,1.7899999999999636,True,False,4.0,0.0,0.0,18.321,38.348,33.723,0,0,0,0.0,91.224,0.6461973382799214,-1.2875323847892421,0,1,90.573,90.54,-0.03299999999998704,0.10999999999999943,-0.18099999999999739,-0.3606666666666693,0.0,-0.006000000000000227,0.26161938001608553,-0.3606666666666693,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,21,0 days 00:01:30.540000,HARD,5.0,True,0 days 01:34:59.027000,26.7,19,32.4,0 days 00:00:18.302000,0 days 00:00:38.385000,0 days 00:00:33.853000,1,90.54,5699.027,1.530999999999949,True,False,5.0,0.0,0.0,18.302,38.385,33.853,0,0,0,0.0,90.9624,0.6696564790996039,-0.6307711687758775,0,0,90.392,90.706,0.31400000000000716,0.0,0.14800000000001035,-0.44566666666666777,0.0,0.13000000000000256,0.24243390851941593,-0.44566666666666777,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,22,0 days 00:01:30.706000,HARD,6.0,True,0 days 01:36:29.733000,26.7,18,32.1,0 days 00:00:18.371000,0 days 00:00:38.164000,0 days 00:00:34.171000,1,90.706,5789.733,1.2590000000000146,True,False,6.0,0.0,0.0,18.371,38.164,34.171,0,0,0,0.0,90.7394,0.5576381443194989,-0.05989547225245729,0,0,90.54,90.272,-0.2680000000000007,0.14800000000001035,0.16599999999999682,0.025666666666670796,0.0,0.4480000000000004,0.2678932623266228,0.025666666666670796,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
ALB,23,0 days 00:01:30.272000,HARD,7.0,True,0 days 01:38:00.005000,26.7,18,32.1,0 days 00:00:18.281000,0 days 00:00:38.244000,0 days 00:00:33.747000,1,90.272,5880.005,1.8239999999996144,True,False,7.0,0.0,0.0,18.281,38.244,33.747,0,0,0,0.0,90.53479999999999,0.11868319173376098,-2.2142983868306896,1,0,90.706,90.511,-0.1950000000000074,0.31400000000000716,-0.4339999999999975,0.04433333333333659,0.0,0.02400000000000091,0.3602360337334409,0.04433333333333659,0,0,2023,Abu Dhabi Grand Prix,0.0,16,0.0
