Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,16,0 days 00:01:25.558000,HARD,16.0,True,0 days 01:28:19.263000,15,0 days 00:00:29.581000,0 days 00:00:18.695000,0 days 00:00:37.282000,1,85.558,5299.263,1.1080000000001746,True,False,16.0,0.0,0.0,0.0,0.0,29.581,18.695,37.282,0,0,0,0.0,86.2902,0.8940635883425837,-0.8189574092345546,0,0,85.328,85.548,0.21999999999999886,0.0,0.23000000000000398,-0.6149999999999997,0.0,0.34199999999999875,0.7835334708868549,-0.6149999999999997,0,0,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,17,0 days 00:01:25.548000,HARD,17.0,True,0 days 01:29:44.811000,14,0 days 00:00:29.772000,0 days 00:00:18.697000,0 days 00:00:37.079000,1,85.548,5384.811,1.1019999999998618,True,False,17.0,0.0,0.0,0.0,0.0,29.772,18.697,37.079,0,0,0,0.0,85.9592,0.7638963934985016,-0.538292893512398,0,0,85.558,85.499,-0.05900000000001171,0.23000000000000398,-0.010000000000005116,-0.2293333333333294,0.0,0.1390000000000029,0.4933723745813101,-0.2293333333333294,0,0,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,18,0 days 00:01:25.499000,HARD,18.0,True,0 days 01:31:10.310000,13,0 days 00:00:29.766000,0 days 00:00:18.590000,0 days 00:00:37.143000,1,85.499,5470.31,0.9529999999995198,True,False,18.0,0.0,0.0,0.0,0.0,29.766,18.59,37.143,0,0,0,0.0,85.63419999999999,0.35418949730336957,-0.38171656988517744,0,0,85.548,85.469,-0.07900000000000773,0.21999999999999886,-0.049000000000006594,0.01900000000000072,0.0,0.20300000000000296,0.22266634231513383,0.01900000000000072,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,19,0 days 00:01:25.469000,HARD,19.0,True,0 days 01:32:35.779000,13,0 days 00:00:29.781000,0 days 00:00:18.665000,0 days 00:00:37.023000,1,85.469,5555.779,1.308999999999287,True,False,19.0,0.0,0.0,0.0,0.0,29.781,18.665,37.023,0,0,0,0.0,85.48479999999999,0.09243754648416537,-0.17092621560120333,0,0,85.499,85.553,0.054000000000002046,0.17099999999999227,-0.030000000000001137,0.05699999999999742,0.0,-0.055999999999997385,0.23456171895686762,0.05699999999999742,0,0,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,20,0 days 00:01:25.553000,HARD,20.0,True,0 days 01:34:01.332000,13,0 days 00:00:29.753000,0 days 00:00:18.656000,0 days 00:00:37.144000,1,85.553,5641.332,1.3919999999998254,True,False,20.0,0.0,0.0,0.0,0.0,29.753,18.656,37.144,0,0,0,0.0,85.4804,0.09259211629513747,0.7840840333380181,0,0,85.469,86.496,1.027000000000001,0.14099999999999113,0.08400000000000318,-0.02966666666667095,0.0,0.12099999999999511,0.2263654125523597,-0.02966666666667095,0,0,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,21,0 days 00:01:26.496000,HARD,21.0,True,0 days 01:35:27.828000,11,0 days 00:00:30.193000,0 days 00:00:18.763000,0 days 00:00:37.540000,1,86.496,5727.828,0.8459999999995489,True,False,21.0,0.0,0.0,0.0,0.0,30.193,18.763,37.54,0,0,0,0.0,85.52539999999999,0.03941192712888001,24.62706268653315,0,0,85.553,88.593,3.0400000000000063,0.08400000000000318,0.9429999999999978,0.0016666666666651508,0.0,0.5169999999999959,0.1441100274096147,0.0016666666666651508,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,22,0 days 00:01:28.593000,HARD,22.0,True,0 days 01:36:56.421000,11,0 days 00:00:32.394000,0 days 00:00:18.733000,0 days 00:00:37.466000,1,88.593,5816.421,0.543999999999869,True,False,22.0,0.0,0.0,0.0,0.0,32.394,18.733,37.466,0,0,0,0.0,85.713,0.43910306307290453,6.558824663725567,0,0,86.496,87.079,0.5829999999999984,1.027000000000001,2.0970000000000084,0.3323333333333333,0.0,0.44299999999999784,0.2090698447887674,0.3323333333333333,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,27,0 days 00:01:27.079000,HARD,27.0,True,0 days 01:47:12.654000,10,0 days 00:00:30.601000,0 days 00:00:18.769000,0 days 00:00:37.709000,1,87.079,6432.654,0.39799999999922875,True,False,27.0,0.0,0.0,0.0,0.0,30.601,18.769,37.709,0,0,0,0.0,86.322,1.3401507377903394,0.5648618313251416,0,0,88.593,86.155,-2.4380000000000024,3.1240000000000094,-1.51400000000001,1.0413333333333366,0.0,0.5650000000000048,0.2350144676397588,1.0413333333333366,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,28,0 days 00:01:26.155000,HARD,28.0,True,0 days 01:48:38.809000,10,0 days 00:00:30.141000,0 days 00:00:18.545000,0 days 00:00:37.469000,1,86.155,6518.809,0.40499999999974534,True,False,28.0,0.0,0.0,0.0,0.0,30.141,18.545,37.469,0,0,0,0.0,86.63799999999999,1.2826199748951255,-0.3765729596090867,0,0,87.079,84.946,-2.1329999999999956,1.6099999999999994,-0.9239999999999924,0.5086666666666654,0.0,0.0030000000000001137,0.27153268679847775,0.5086666666666654,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,29,0 days 00:01:24.946000,HARD,29.0,True,0 days 01:50:03.755000,10,0 days 00:00:29.712000,0 days 00:00:18.537000,0 days 00:00:36.697000,1,84.946,6603.755,0.4669999999996435,True,False,29.0,0.0,0.0,0.0,0.0,29.712,18.537,36.697,0,0,0,0.0,86.77520000000001,1.1568345603412624,-1.5812114045593575,1,0,86.155,84.335,-1.8200000000000074,0.6020000000000039,-1.2090000000000032,-0.11366666666666465,0.0,-0.7689999999999984,0.25178006275319087,-0.11366666666666465,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,30,0 days 00:01:24.335000,HARD,30.0,True,0 days 01:51:28.090000,10,0 days 00:00:29.235000,0 days 00:00:18.372000,0 days 00:00:36.728000,1,84.335,6688.09,0.43099999999958527,True,False,30.0,0.0,0.0,0.0,0.0,29.235,18.372,36.728,0,0,0,0.0,86.65379999999999,1.3352504259501188,-1.736603078295232,1,1,84.946,84.411,-0.5349999999999966,0.0,-0.6110000000000042,-1.2156666666666684,0.0,0.030999999999998806,0.561007308330292,-1.2156666666666684,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,31,0 days 00:01:24.411000,HARD,31.0,True,0 days 01:52:52.501000,10,0 days 00:00:29.334000,0 days 00:00:18.366000,0 days 00:00:36.711000,1,84.411,6772.501,0.5,True,False,31.0,0.0,0.0,0.0,0.0,29.334,18.366,36.711,0,0,0,0.0,86.2216,1.699229472437436,-1.0655417819482638,0,1,84.335,84.626,0.291000000000011,0.0,0.07600000000000762,-0.9146666666666666,0.0,0.013999999999995794,0.5227090969172054,-0.9146666666666666,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,32,0 days 00:01:24.626000,HARD,32.0,True,0 days 01:54:17.127000,10,0 days 00:00:29.372000,0 days 00:00:18.466000,0 days 00:00:36.788000,1,84.626,6857.127,0.42599999999947613,True,False,32.0,0.0,0.0,0.0,0.0,29.372,18.466,36.788,0,0,0,0.0,85.38520000000001,1.1944070495438512,-0.63562920219698,0,0,84.411,84.71,0.2989999999999924,0.07600000000000762,0.2150000000000034,-0.5813333333333333,0.0,0.09099999999999397,0.4761524965806657,-0.5813333333333333,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
ALB,33,0 days 00:01:24.710000,HARD,33.0,True,0 days 01:55:41.837000,10,0 days 00:00:29.272000,0 days 00:00:18.436000,0 days 00:00:37.002000,1,84.71,6941.837,0.2569999999996071,True,False,33.0,0.0,0.0,0.0,0.0,29.272,18.436,37.002,0,0,0,0.0,84.8946,0.7433735938275502,-0.24832735724377533,0,0,84.626,85.132,0.5060000000000002,0.291000000000011,0.08399999999998897,-0.1066666666666644,0.0,0.2910000000000039,0.36104985805287143,-0.1066666666666644,0,1,2022,Australian Grand Prix,2022_Australian Grand Prix
