Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,15,0 days 00:01:35.512000,INTERMEDIATE,15.0,True,0 days 01:28:31.744000,13.3,14,16.7,0 days 00:00:30.044000,0 days 00:00:33.078000,0 days 00:00:32.390000,1,95.512,5311.744,1.704000000000633,False,True,False,False,15.0,0.0,0.0,30.044,33.078,32.39,0,0,0,0.0,94.4016,1.107964710629383,1.002197984599376,0,0,95.313,95.35,0.03699999999999193,2.3440000000000083,0.19899999999999807,0.6029999999999992,0.0,0.17900000000000205,0.4765298521603866,0.6029999999999992,0,0,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,16,0 days 00:01:35.350000,INTERMEDIATE,16.0,True,0 days 01:30:07.094000,13.4,14,16.2,0 days 00:00:29.893000,0 days 00:00:33.225000,0 days 00:00:32.232000,1,95.35,5407.094,1.88799999999992,False,True,False,False,16.0,0.0,0.0,29.893,33.225,32.232,0,0,0,0.0,94.9102,0.8363041910692833,0.5258852038486986,0,0,95.512,88.905,-6.606999999999999,2.0079999999999956,-0.16200000000000614,0.24299999999999974,0.0,-0.15800000000000125,0.4286321266540805,0.24299999999999974,0,0,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,19,0 days 00:01:28.905000,MEDIUM,2.0,True,0 days 01:35:11.343000,13.4,13,16.1,0 days 00:00:28.683000,0 days 00:00:30.251000,0 days 00:00:29.971000,1,88.905,5711.343,2.8100000000004,False,False,True,False,2.0,0.0,0.0,28.683,30.251,29.971,0,0,0,0.0,95.2794,0.28814111126329744,-22.122493982384896,1,0,95.35,86.732,-8.617999999999995,0.5669999999999931,-6.444999999999993,-0.029666666666666213,0.0,-2.2609999999999992,0.5088126374216743,-0.029666666666666213,0,0,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,20,0 days 00:01:26.732000,MEDIUM,3.0,True,0 days 01:36:38.075000,13.4,12,16.0,0 days 00:00:28.014000,0 days 00:00:29.565000,0 days 00:00:29.153000,1,86.732,5798.075,0.9700000000002547,False,False,True,False,3.0,0.0,0.0,28.014,29.565,29.153,0,0,0,0.0,94.1038,2.907253291338762,-2.5356579772261143,1,1,88.905,85.645,-3.260000000000005,0.0,-2.173000000000002,-2.1360000000000006,0.0,-0.8180000000000014,1.3239878020586142,-2.1360000000000006,0,1,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,21,0 days 00:01:25.645000,MEDIUM,4.0,True,0 days 01:38:03.720000,13.4,12,16.1,0 days 00:00:27.842000,0 days 00:00:29.338000,0 days 00:00:28.465000,1,85.645,5883.72,1.030999999999949,False,False,True,False,4.0,0.0,0.0,27.842,29.338,28.465,0,0,0,0.0,92.36240000000001,4.2192058849978045,-1.5921005476137147,1,1,86.732,84.864,-1.867999999999995,0.0,-1.0870000000000033,-2.926666666666667,0.0,-0.6879999999999988,1.1396483229487953,-2.926666666666667,0,0,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,22,0 days 00:01:24.864000,MEDIUM,5.0,True,0 days 01:39:28.584000,13.3,12,16.0,0 days 00:00:27.294000,0 days 00:00:29.268000,0 days 00:00:28.302000,1,84.864,5968.584,0.9020000000000437,False,False,True,False,5.0,0.0,0.0,27.294,29.268,28.302,0,0,0,0.0,90.4288,4.7151397328181215,-1.180198321858438,0,1,85.645,84.062,-1.5829999999999984,0.0,-0.7809999999999917,-3.2349999999999994,0.0,-0.16300000000000026,0.9360943862666842,-3.2349999999999994,0,1,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,23,0 days 00:01:24.062000,MEDIUM,6.0,True,0 days 01:40:52.646000,13.4,12,16.0,0 days 00:00:27.083000,0 days 00:00:29.041000,0 days 00:00:27.938000,1,84.062,6052.646,0.98700000000008,False,False,True,False,6.0,0.0,0.0,27.083,29.041,27.938,0,0,0,0.0,88.2992,4.2244013422022535,-1.0030296974082191,0,0,84.864,83.603,-1.26100000000001,0.0,-0.8020000000000067,-1.3469999999999989,0.0,-0.36400000000000077,0.8607806340758364,-1.3469999999999989,0,1,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,24,0 days 00:01:23.603000,MEDIUM,7.0,True,0 days 01:42:16.249000,13.2,12,15.6,0 days 00:00:26.853000,0 days 00:00:28.900000,0 days 00:00:27.850000,12,83.603,6136.249,1.1410000000005311,False,False,True,False,7.0,0.0,0.0,26.853,28.9,27.85,0,0,1,0.0,86.0416,1.8800639084883013,-1.2970835666755647,0,0,84.062,83.216,-0.8460000000000036,0.0,-0.4590000000000032,-0.8900000000000006,0.0,-0.08799999999999741,0.8255251056146017,-0.8900000000000006,0,0,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,25,0 days 00:01:23.216000,MEDIUM,8.0,True,0 days 01:43:39.465000,13.2,12,15.8,0 days 00:00:26.595000,0 days 00:00:28.769000,0 days 00:00:27.852000,21,83.216,6219.465,1.7010000000000218,False,False,True,False,8.0,0.0,0.0,26.595,28.769,27.852,0,0,1,0.0,84.98119999999999,1.2514022934293998,-1.410577565079059,0,0,83.603,84.566,0.9630000000000081,0.0,-0.38700000000000045,-0.6806666666666672,0.0,0.0019999999999988916,0.3199799993749617,-0.6806666666666672,0,0,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,26,0 days 00:01:24.566000,MEDIUM,9.0,True,0 days 01:45:04.031000,13.1,12,15.9,0 days 00:00:27.426000,0 days 00:00:29.228000,0 days 00:00:27.912000,1,84.566,6304.031,0.9459999999999127,False,False,True,False,9.0,0.0,0.0,27.426,29.228,27.912,0,0,0,0.0,84.27799999999999,0.9800778030342269,0.29385422168361586,0,0,83.216,83.198,-0.018000000000000682,0.0,1.3500000000000085,-0.5493333333333368,0.0,0.06199999999999761,0.27460735605587816,-0.5493333333333368,0,1,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,27,0 days 00:01:23.198000,MEDIUM,10.0,True,0 days 01:46:27.229000,13.1,12,16.1,0 days 00:00:26.652000,0 days 00:00:28.882000,0 days 00:00:27.664000,1,83.198,6387.229,0.8170000000000073,False,False,True,False,10.0,0.0,0.0,26.652,28.882,27.664,0,0,0,0.0,84.0622,0.6752067831415889,-1.279904203537586,0,0,84.566,83.019,-1.546999999999997,1.3500000000000085,-1.3680000000000092,0.16800000000000162,0.0,-0.18599999999999994,0.16578359388069697,0.16800000000000162,0,1,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,28,0 days 00:01:23.019000,MEDIUM,11.0,True,0 days 01:47:50.248000,13.1,12,16.1,0 days 00:00:26.490000,0 days 00:00:28.754000,0 days 00:00:27.775000,1,83.019,6470.248,0.7520000000004075,False,False,True,False,11.0,0.0,0.0,26.49,28.754,27.775,0,0,0,0.0,83.729,0.5857610434301956,-1.2120983598401478,0,0,83.198,82.755,-0.44299999999999784,0.0,-0.17899999999998784,-0.13500000000000037,0.0,0.1109999999999971,0.16792021915183367,-0.13500000000000037,0,1,2022,Emilia Romagna Grand Prix,0.0,0,0.0
ALB,29,0 days 00:01:22.755000,MEDIUM,12.0,True,0 days 01:49:13.003000,13.2,12,16.3,0 days 00:00:26.338000,0 days 00:00:28.722000,0 days 00:00:27.695000,1,82.755,6553.003,0.9920000000001892,False,False,True,False,12.0,0.0,0.0,26.338,28.722,27.695,0,0,0,0.0,83.5204,0.62211437855144,-1.2303203822136253,0,0,83.019,82.663,-0.35600000000000875,0.0,-0.26400000000001,-0.06566666666666283,0.0,0.030999999999998806,0.11889995794784622,-0.06566666666666283,0,1,2022,Emilia Romagna Grand Prix,0.0,0,0.0
