Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_INTERMEDIATE,compound_WET,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALO,18,0 days 00:01:48.852000,INTERMEDIATE,10.0,True,0 days 03:46:53.869000,15.9,7,18.3,0 days 00:00:39.624000,0 days 00:00:48.289000,0 days 00:00:20.939000,1,108.852,13613.869,10.18199999999888,True,False,10.0,0.0,0.0,39.624,48.289,20.939,0,0,0,0.0,107.6538,0.882660580291239,1.3574867018584278,0,0,108.726,108.965,0.23900000000000432,2.0489999999999924,0.12600000000000477,0.6829999999999975,0.0,0.13899999999999935,0.2800366047501641,0.6829999999999975,0,0,2022,Japanese Grand Prix,0.0,18,0.0
ALO,19,0 days 00:01:48.965000,INTERMEDIATE,11.0,True,0 days 03:48:42.834000,15.9,7,18.3,0 days 00:00:39.364000,0 days 00:00:48.368000,0 days 00:00:21.233000,1,108.965,13722.834,11.170999999998457,True,False,11.0,0.0,0.0,39.364,48.368,21.233,0,0,0,0.0,108.03120000000001,0.9172571613239523,1.0180351153128757,0,0,108.852,109.103,0.25099999999999056,2.174999999999997,0.11299999999999955,0.44233333333333275,0.0,0.43299999999999983,0.25047614656888945,0.44233333333333275,0,0,2022,Japanese Grand Prix,0.0,18,0.0
ALO,20,0 days 00:01:49.103000,INTERMEDIATE,12.0,True,0 days 03:50:31.937000,15.9,7,18.3,0 days 00:00:39.830000,0 days 00:00:48.646000,0 days 00:00:20.627000,1,109.103,13831.937,10.234000000000378,True,False,12.0,0.0,0.0,39.83,48.646,20.627,0,0,0,0.0,108.4888,0.5823613139624607,1.0546717051325087,0,0,108.965,109.038,0.07299999999999329,1.4399999999999977,0.13799999999999102,0.1963333333333329,0.0,-0.31200000000000117,0.2042065131184607,0.1963333333333329,0,0,2022,Japanese Grand Prix,0.0,18,0.0
ALO,21,0 days 00:01:49.038000,INTERMEDIATE,13.0,True,0 days 03:52:20.975000,15.9,7,18.2,0 days 00:00:39.681000,0 days 00:00:48.440000,0 days 00:00:20.917000,1,109.038,13940.975,8.199999999998909,True,False,13.0,0.0,0.0,39.681,48.44,20.917,0,0,0,0.0,108.80440000000002,0.276989711000405,0.8433526254686039,0,0,109.103,104.469,-4.634,0.7269999999999897,-0.06499999999999773,0.12566666666666512,0.0,0.2900000000000027,0.37614717864155306,0.12566666666666512,0,0,2022,Japanese Grand Prix,0.0,18,0.0
ALO,24,0 days 00:01:44.469000,INTERMEDIATE,2.0,True,0 days 03:58:02.377000,15.9,8,18.3,0 days 00:00:37.577000,0 days 00:00:46.504000,0 days 00:00:20.388000,1,104.469,14282.377,4.646999999999025,True,False,2.0,0.0,0.0,37.577,46.504,20.388,0,0,0,0.0,108.93679999999999,0.1502388098997327,-29.737988492998213,1,0,109.038,104.412,-4.625999999999991,0.3119999999999976,-4.569000000000003,0.06199999999999761,0.0,-0.23899999999999721,0.3736994781906986,0.06199999999999761,0,0,2022,Japanese Grand Prix,0.0,18,0.0
ALO,25,0 days 00:01:44.412000,INTERMEDIATE,3.0,True,0 days 03:59:46.789000,15.9,8,18.2,0 days 00:00:37.413000,0 days 00:00:46.521000,0 days 00:00:20.478000,1,104.412,14386.789,10.899999999999636,True,False,3.0,0.0,0.0,37.413,46.521,20.478,0,0,0,0.0,108.0854,2.0237760004506704,-1.8151218312609594,1,1,104.469,105.047,0.578000000000003,0.0,-0.05699999999998795,-1.4986666666666697,0.0,0.08999999999999986,0.3263551746180839,-1.4986666666666697,0,0,2022,Japanese Grand Prix,0.0,18,0.0
ALO,26,0 days 00:01:45.047000,INTERMEDIATE,4.0,True,0 days 04:01:31.836000,15.9,8,18.2,0 days 00:00:37.547000,0 days 00:00:47.034000,0 days 00:00:20.466000,1,105.047,14491.836,16.55000000000109,True,False,4.0,0.0,0.0,37.547,47.034,20.466,0,0,0,0.0,107.19739999999999,2.5172479615644003,-0.8542662593571339,0,1,104.412,106.296,1.8840000000000003,0.0,0.6349999999999909,-1.5636666666666628,0.0,0.0779999999999994,0.32420101788859346,-1.5636666666666628,0,0,2022,Japanese Grand Prix,0.0,18,0.0
ALO,27,0 days 00:01:46.296000,INTERMEDIATE,5.0,True,0 days 04:03:18.132000,15.9,8,18.2,0 days 00:00:38.267000,0 days 00:00:47.299000,0 days 00:00:20.730000,1,106.296,14598.132,21.131999999999607,True,False,5.0,0.0,0.0,38.267,47.299,20.73,0,0,0,0.0,106.4138,2.438022497845364,-0.04831784780661201,0,0,105.047,108.054,3.007000000000005,0.6349999999999909,1.2490000000000094,-1.3303333333333331,0.0,0.34199999999999875,0.25050908167170355,-1.3303333333333331,0,0,2022,Japanese Grand Prix,0.0,18,0.0
BOT,8,0 days 00:01:50.819000,INTERMEDIATE,2.0,True,0 days 03:29:01.505000,15.9,16,18.3,0 days 00:00:40.590000,0 days 00:00:48.841000,0 days 00:00:21.388000,1,110.819,12541.505,0.0,True,False,2.0,0.0,0.0,40.59,48.841,21.388,0,0,0,0.0,105.6556,1.5400802901148332,3.3526823459411954,0,0,110.819,112.751,1.9320000000000022,6.4069999999999965,0.0,1.2139999999999986,0.0,0.9220000000000006,0.5137345618118351,0.0,0,0,2022,Japanese Grand Prix,0.0,18,0.0
BOT,9,0 days 00:01:52.751000,INTERMEDIATE,3.0,True,0 days 03:30:54.256000,15.9,17,18.4,0 days 00:00:41.303000,0 days 00:00:50.290000,0 days 00:00:21.158000,1,112.751,12654.256,0.3710000000010041,True,False,3.0,0.0,0.0,41.303,50.29,21.158,0,0,0,0.0,,,0.0,0,0,110.819,108.646,-2.173000000000002,0.0,1.9320000000000022,0.0,0.0,0.0,0.0,0.0,0,1,2022,Japanese Grand Prix,0.0,18,0.0
BOT,10,0 days 00:01:48.646000,INTERMEDIATE,4.0,True,0 days 03:32:42.902000,15.8,16,18.2,0 days 00:00:39.934000,0 days 00:00:47.762000,0 days 00:00:20.950000,1,108.646,12762.902,0.5949999999993452,True,False,4.0,0.0,0.0,39.934,47.762,20.95,0,0,0,0.0,,,0.0,0,0,112.751,107.82,-4.931000000000012,0.0,-4.105000000000004,0.9660000000000011,0.0,-0.20800000000000196,0.0,0.0,0,1,2022,Japanese Grand Prix,0.0,18,0.0
BOT,11,0 days 00:01:47.820000,INTERMEDIATE,5.0,True,0 days 03:34:30.722000,15.9,16,18.2,0 days 00:00:39.123000,0 days 00:00:47.943000,0 days 00:00:20.754000,1,107.82,12870.722,0.6290000000008149,True,False,5.0,0.0,0.0,39.123,47.943,20.754,0,0,0,0.0,110.73866666666667,2.0536787317721643,-1.4211895081311474,0,0,108.646,108.891,0.24500000000000455,0.0,-0.8260000000000076,-0.7243333333333339,0.0,-0.19599999999999795,0.6014216490948769,-1.086500000000001,0,1,2022,Japanese Grand Prix,0.0,18,0.0
BOT,12,0 days 00:01:48.891000,INTERMEDIATE,6.0,True,0 days 03:36:19.613000,15.9,15,18.3,0 days 00:00:39.265000,0 days 00:00:48.636000,0 days 00:00:20.990000,1,108.891,12979.613,0.853000000000975,True,False,6.0,0.0,0.0,39.265,48.636,20.99,0,0,0,0.0,110.009,2.2229225507575956,-0.502941499072457,0,0,107.82,109.344,1.524000000000001,0.0,1.0710000000000122,-0.9996666666666698,0.0,0.2359999999999971,0.5368683885894819,-0.9996666666666698,0,1,2022,Japanese Grand Prix,0.0,18,0.0
