Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_None,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,19,0 days 00:01:17.882000,HARD,7.0,True,0 days 01:30:58.404000,11,0 days 00:00:22.276000,0 days 00:00:24.791000,0 days 00:00:30.815000,1,77.882,5458.404,0.2539999999999054,True,False,False,False,7.0,0.0,0.0,0.0,0.0,22.276,24.791,30.815,0,0,0,0.0,79.164,0.6109107954521746,-2.0985060495634316,1,0,79.275,78.055,-1.2199999999999989,0.8080000000000069,-1.3930000000000007,-0.014666666666665643,0.0,-0.16699999999999804,0.34227255221533626,-0.014666666666665643,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,20,0 days 00:01:18.055000,HARD,8.0,True,0 days 01:32:16.459000,11,0 days 00:00:22.129000,0 days 00:00:24.911000,0 days 00:00:31.015000,1,78.055,5536.459,0.7319999999999709,True,False,False,False,8.0,0.0,0.0,0.0,0.0,22.129,24.911,31.015,0,0,0,0.0,79.047,0.8034485048837948,-1.2346777596449272,0,1,77.882,79.16,1.2779999999999916,0.0,0.17300000000000182,-0.27833333333333127,0.0,0.1999999999999993,0.4121362638739761,-0.27833333333333127,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,21,0 days 00:01:19.160000,HARD,9.0,True,0 days 01:33:35.619000,11,0 days 00:00:22.840000,0 days 00:00:25.281000,0 days 00:00:31.039000,1,79.16,5615.619,0.5460000000002765,True,False,False,False,9.0,0.0,0.0,0.0,0.0,22.84,25.281,31.039,0,0,0,0.0,78.7942,0.8905979452031104,0.4107352840529723,0,0,78.055,78.868,0.8129999999999882,0.17300000000000182,1.1049999999999898,-0.6623333333333316,0.0,0.2240000000000002,0.40855636086101943,-0.6623333333333316,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,22,0 days 00:01:18.868000,HARD,10.0,True,0 days 01:34:54.487000,12,0 days 00:00:22.078000,0 days 00:00:25.017000,0 days 00:00:31.773000,1,78.868,5694.487,0.581000000000131,True,False,False,False,10.0,0.0,0.0,0.0,0.0,22.078,25.017,31.773,0,0,0,0.0,78.8828,0.9029477836508605,-0.016390759541119602,0,0,79.16,78.718,-0.44199999999999307,1.2779999999999916,-0.2920000000000016,-0.03833333333333636,0.0,0.9579999999999984,0.3661395908666524,-0.03833333333333636,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,23,0 days 00:01:18.718000,HARD,11.0,True,0 days 01:36:13.205000,12,0 days 00:00:22.445000,0 days 00:00:25.083000,0 days 00:00:31.190000,1,78.718,5773.205,0.5510000000003856,True,False,False,False,11.0,0.0,0.0,0.0,0.0,22.445,25.083,31.19,0,0,0,0.0,78.648,0.6407179566704851,0.10925243981574204,0,0,78.868,78.162,-0.7059999999999889,0.98599999999999,-0.14999999999999147,0.32866666666666333,0.0,0.1750000000000007,0.4292388612416159,0.32866666666666333,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,24,0 days 00:01:18.162000,HARD,12.0,True,0 days 01:37:31.367000,12,0 days 00:00:22.267000,0 days 00:00:24.891000,0 days 00:00:31.004000,1,78.162,5851.367,0.6620000000002619,True,False,False,False,12.0,0.0,0.0,0.0,0.0,22.267,24.891,31.004,0,0,0,0.0,78.53659999999999,0.5458477809792753,-0.6862719114254483,0,0,78.718,78.775,0.05700000000000216,0.8359999999999985,-0.5559999999999974,0.2209999999999989,0.0,-0.03500000000000014,0.41232087019698505,0.2209999999999989,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,25,0 days 00:01:18.775000,HARD,13.0,True,0 days 01:38:50.142000,12,0 days 00:00:22.526000,0 days 00:00:25.149000,0 days 00:00:31.100000,1,78.775,5930.142,0.6030000000000655,True,False,False,False,13.0,0.0,0.0,0.0,0.0,22.526,25.149,31.1,0,0,0,0.0,78.5926,0.47115369042383654,0.38713482183683917,0,0,78.162,78.351,0.18899999999999295,0.10699999999999932,0.6129999999999995,-0.3326666666666635,0.0,0.09600000000000009,0.3796357464728519,-0.3326666666666635,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,26,0 days 00:01:18.351000,HARD,14.0,True,0 days 01:40:08.493000,12,0 days 00:00:22.208000,0 days 00:00:25.128000,0 days 00:00:31.015000,1,78.351,6008.493,0.9169999999994616,True,False,False,False,14.0,0.0,0.0,0.0,0.0,22.208,25.128,31.015,0,0,0,0.0,78.7366,0.36349662997063087,-1.0608076339831585,0,0,78.775,78.603,-0.17200000000001125,0.6129999999999995,-0.4240000000000066,-0.030999999999996437,0.0,0.010999999999999233,0.3895064826161427,-0.030999999999996437,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,27,0 days 00:01:18.603000,HARD,15.0,True,0 days 01:41:27.096000,12,0 days 00:00:22.595000,0 days 00:00:25.057000,0 days 00:00:30.951000,1,78.603,6087.096,0.8170000000000073,True,False,False,False,15.0,0.0,0.0,0.0,0.0,22.595,25.057,30.951,0,0,0,0.0,78.57480000000001,0.3029202865441741,0.09309379811335838,0,0,78.351,78.563,0.2120000000000033,0.18899999999999295,0.25199999999999534,-0.1223333333333348,0.0,-0.053000000000000824,0.4088233114684136,-0.1223333333333348,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,28,0 days 00:01:18.563000,HARD,16.0,True,0 days 01:42:45.659000,11,0 days 00:00:22.293000,0 days 00:00:25.039000,0 days 00:00:31.231000,12,78.563,6165.659,0.20200000000022555,True,False,False,False,16.0,0.0,0.0,0.0,0.0,22.293,25.039,31.231,0,0,1,0.0,78.5218,0.2587599273458014,0.15922094438117781,0,0,78.603,78.168,-0.43499999999998806,0.4409999999999883,-0.03999999999999204,0.1469999999999961,0.0,0.28000000000000114,0.09548403007833363,0.1469999999999961,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
