RaceKey,n_samples,baseline_mae,model_mae,mae_gain,pct_gain
2025_Japanese Grand Prix,977,0.35071238485158623,0.3234172445792491,0.02729514027233715,7.78277056964722
2025_Bahrain Grand Prix,932,0.5588283261802575,0.4516856138695685,0.10714271231068895,19.172741840600374
2025_Saudi Arabian Grand Prix,792,0.4844911616161613,0.4153355499272872,0.06915561168887407,14.27386445155891
2025_Monaco Grand Prix,1251,0.9844852118305358,1.0102236288059094,-0.0257384169753736,-2.614403615826388
2025_Spanish Grand Prix,971,0.6762935118434605,0.5470777426683001,0.12921576917516042,19.106462935440607
2025_Austrian Grand Prix,993,0.46883081570996976,0.3886510926489486,0.08017972306102117,17.102059074252985
2025_Hungarian Grand Prix,1269,0.4891055949566587,0.43943703548372604,0.04966855947293264,10.154976754525563
2025_Dutch Grand Prix,1021,0.4704760039177278,0.4278641161388988,0.042611887778829016,9.057186216511175
2025_Italian Grand Prix,897,0.37567558528428063,0.3465941338759342,0.029081451408346448,7.741107633156404
2025_Azerbaijan Grand Prix,836,0.5923875598086122,0.4217483679202566,0.17063919188835563,28.805330068626947
2025_Mexico City Grand Prix,1133,0.5231747572815535,0.4648451593884697,0.058329597893083784,11.149161361715494
2025_Las Vegas Grand Prix,742,0.4031576819407013,0.3799434394962062,0.023214242444495103,5.75810495108204
2025_Abu Dhabi Grand Prix,1062,0.4357269303201509,0.3751977835269886,0.06052914679316229,13.891532191661513
