feature,PrevLapTimeSec,NextLapTimeSec,DeltaTrue,BaselineAbsErr,TyreAge,FuelLapsRemaining,TyreDegSmooth,PushIndex,CarPaceIndex,Sector1Sec,Sector2Sec,Sector3Sec,ModelAbsErr
PrevLapTimeSec,1.0,0.9895361557070951,-0.09810806194221226,0.0917883786980317,-0.10579765223345643,-0.13499877521350753,0.035472189596573056,0.10011698288927354,0.16527081799457877,0.6550748686174973,0.6708242692571451,0.38891250976661057,0.04475240773563241
NextLapTimeSec,0.9895361557070951,1.0,0.04650758297075555,0.06125680495085771,-0.09831226922239668,-0.14212188328065872,-0.014223490826742636,0.015588253415451376,0.08611456342484457,0.6517382349641004,0.6720293954943329,0.39060658780291,0.07872511577870354
DeltaTrue,-0.09810806194221226,0.04650758297075555,1.0,-0.2129656162057481,0.05437278905971467,-0.045628794813211096,-0.3436853295913737,-0.585615457317279,-0.5502497864886409,-0.040003695615463096,-0.009086353727342853,0.0015977315796437566,0.23315879104875617
BaselineAbsErr,0.0917883786980317,0.06125680495085771,-0.2129656162057481,1.0,-0.041330024648386005,0.028340781268019474,0.3221443088135754,0.5905118107628857,0.5373011720847933,0.03754591687782714,0.02130666081948888,-0.00967937677530618,0.8144959335815742
TyreAge,-0.10579765223345643,-0.09831226922239668,0.05437278905971467,-0.041330024648386005,1.0,-0.40679538623361006,0.08668073478056235,-0.05343208028383503,-0.12531109957533537,-0.03411569710142807,-0.08264401391002625,-0.05422292446366803,-0.022463165343968507
FuelLapsRemaining,-0.13499877521350753,-0.14212188328065872,-0.045628794813211096,0.028340781268019474,-0.40679538623361006,1.0,-0.03950180047261039,0.054222911150999954,0.4655499954710505,-0.10561857766433845,-0.038446853165056964,-0.10984210975349368,0.037097901157652435
TyreDegSmooth,0.035472189596573056,-0.014223490826742636,-0.3436853295913737,0.3221443088135754,0.08668073478056235,-0.03950180047261039,1.0,0.4962037721776867,0.34615366613029785,-0.02274196112335509,-0.003203859059782454,0.007885719959955484,0.1059622140402331
PushIndex,0.10011698288927354,0.015588253415451376,-0.585615457317279,0.5905118107628857,-0.05343208028383503,0.054222911150999954,0.4962037721776867,1.0,0.6333438288399603,0.03400479192293966,0.03658310603694416,-0.010037426212343003,0.2960817041749677
CarPaceIndex,0.16527081799457877,0.08611456342484457,-0.5502497864886409,0.5373011720847933,-0.12531109957533537,0.4655499954710505,0.34615366613029785,0.6333438288399603,1.0,0.08807070756071653,0.05828521743467625,0.03397618984876969,0.2587016628197963
Sector1Sec,0.6550748686174973,0.6517382349641004,-0.040003695615463096,0.03754591687782714,-0.03411569710142807,-0.10561857766433845,-0.02274196112335509,0.03400479192293966,0.08807070756071653,1.0,0.1860039279387785,-0.011806233898670738,0.027164813753472346
Sector2Sec,0.6708242692571451,0.6720293954943329,-0.009086353727342853,0.02130666081948888,-0.08264401391002625,-0.038446853165056964,-0.003203859059782454,0.03658310603694416,0.05828521743467625,0.1860039279387785,1.0,-0.15794105947534148,0.02356609021605793
Sector3Sec,0.38891250976661057,0.39060658780291,0.0015977315796437566,-0.00967937677530618,-0.05422292446366803,-0.10984210975349368,0.007885719959955484,-0.010037426212343003,0.03397618984876969,-0.011806233898670738,-0.15794105947534148,1.0,-0.007315378446956239
ModelAbsErr,0.04475240773563241,0.07872511577870354,0.23315879104875617,0.8144959335815742,-0.022463165343968507,0.037097901157652435,0.1059622140402331,0.2960817041749677,0.2587016628197963,0.027164813753472346,0.02356609021605793,-0.007315378446956239,1.0
